id	l1_token	l1_semtag	l1_postag	l2_token	l2_semtag	l2_postag
03/0946	Il y a aussi des touristes français .	UNK UNK UNK UNK GPO ENS ROL NIL	PRON PRON VERB ADV DET NOUN ADJ PUNCT	Ci sono anche ø turisti francesi .	NIL ENS ALT DIS ROL GPO NIL	PRON VERB ADV ADP NOUN ADJ PUNCT
03/2101				Il lago è molto profondo .	DEF CON NOW INT DEG NIL	DET NOUN AUX ADV ADJ PUNCT
04/0830	Personne ne peut résoudre ce problème .	NOT UNK POS EXS PRX CON NIL	PRON ADV VERB VERB DET NOUN PUNCT	Nessuno può risolvere questo problema .	NOT POS EXS PRX CON NIL	PRON AUX VERB DET NOUN PUNCT
05/0820				La gonna rossa è nuova .	DEF CON COL NOW IST NIL	DET NOUN ADJ AUX ADJ PUNCT
05/0830	Personne n' a résolu le problème .	NOT DEF NOW EXT DEF CON NIL	ADJ ADJ PUNCT AUX VERB DET NOUN PUNCT	Nessuno ha risolto il problema .	NOT NOW EXT DEF CON NIL	PRON AUX VERB DET NOUN PUNCT
05/0904				Io mangio una mela .	PRO ENS DIS CON NIL	PRON VERB DET NOUN PUNCT
06/0760	Le capitaine Scott a découvert l' île Scott en décembre 1902 .	UNK EPS PER UNK ROL UNK UNK GPE REL MOY YOC NIL	DET NOUN PROPN AUX VERB DET PUNCT PRON PROPN ADP NOUN NUM PUNCT	Il Capitano Scotto raggiunse l' Isola~di~Scott nel dicembre del 1902 .	DEF ROL PER EPS DEF GPE REL MOY REL YOC NIL	DET PROPN PROPN VERB DET PUNCT PROPN PUNCT VERB ADP NOUN ADP NUM PUNCT
06/0910	Il a plu pendant cinq jours .	DEF UNK CON EPS QUC UOM NIL	PRON AUX VERB ADP NUM NOUN PUNCT	La pioggia durò ø cinque giorni .	DEF CON EPS DIS QUC UOM NIL	DET NOUN VERB ADP NUM NOUN PUNCT
06/2903				Io ho ø due gatti .	PRO ENS DIS QUC CON NIL	PRON VERB ADP NUM NOUN PUNCT
07/0760	Carl~Smith est mort le 8 août .	PER UNK EPS REL MOY DOM NIL	PROPN PROPN PROPN AUX VERB DET NUM NOUN PUNCT	ø Carl~Smith morì l' 8 agosto .	DEF PER EPS DEF DOM MOY NIL	PROPN PROPN VERB DET PUNCT NUM NOUN PUNCT
07/0905				L' uomo ha ragione .	DEF CON NOW IST NIL	PRON PUNCT NOUN VERB NOUN PUNCT
07/0914	Il y a un biscuit sous la table .	UNK ENS ENS DIS CON REL DEF CON NIL	PRON PRON VERB DET NOUN ADP DET NOUN PUNCT	Un biscotto è sotto il tavolo .	DIS CON ENS REL DEF CON NIL	DET NOUN AUX ADP DET NOUN PUNCT
07/0928	Ma mère a fait cuire dix œufs .	HAS ROL NOW NOW EXT QUC CON NIL	DET NOUN AUX AUX VERB NUM NOUN PUNCT	Mia madre ha cotto ø dieci uova .	HAS ROL NOW EXT DIS QUC CON NIL	PROPN NOUN AUX VERB ADP NUM NOUN PUNCT
07/3391				Io guido una decappottabile .	PRO ENS DIS CON NIL	PRON VERB DET ADJ PUNCT
08/0765	La Roumanie a envoyé 730 soldats en Irak .	UNK EPS UNK GPE QUC CON REL GPE NIL	DET PROPN AUX VERB NUM NOUN ADP PROPN PUNCT	La Romania ha inviato ø 730 truppe in ø Iraq .	DEF GPE NOW EXT DIS QUC CON REL DEF GPE NIL	DET PROPN AUX VERB ADV NUM NOUN ADP PROPN PROPN PUNCT
08/0785	Bill n' a pas commis ce crime .	PER DEF PST NOT EXS DEF CON NIL	PROPN PROPN PUNCT AUX ADV VERB DET NOUN PUNCT	ø Bill non ha commesso il crimine .	DEF PER NOT NOW EXT DEF CON NIL	ADV PROPN ADV AUX VERB DET NOUN PUNCT
08/0934				Questo libro costa ø 4 dollari .	PRX CON ENS DIS QUC UOM NIL	DET NOUN VERB ADP NUM NOUN PUNCT
09/1392	Où est né le réalisateur Michelangelo~Antonioni ?	QUE PST PST DEF ROL UNK QUE	ADV AUX VERB DET NOUN PROPN PROPN PROPN PUNCT	Dove nacque il regista Michelangelo~Antonioni ?	QUE EPS DEF ROL PER QUE	ADV VERB DET NOUN PROPN PUNCT
09/2518	J' ai commandé une pizza .	PRO UNK EPS UNK CON NIL	NOUN PUNCT AUX VERB DET NOUN PUNCT	Io ordinai della pizza .	PRO EPS DIS CON NIL	PRON VERB ADP NOUN PUNCT
10/0713	Baena~Soares a été arrêté par l' armée .	PER UNK PST EXS REL DEF CON NIL	PROPN PROPN PROPN AUX AUX VERB ADP DET PUNCT NOUN PUNCT	ø Baena~Soares fu arrestato dal le forze~armate .	DEF PER PST EXS REL DEF CON NIL	ADV PROPN AUX VERB ADP DET NOUN PUNCT ADJ PUNCT
10/0795				ø John abita a ø New~York .	DEF PER ENS REL DEF GPE NIL	ADV PROPN VERB ADP PROPN ADJ PUNCT
10/0827						
10/0853				Lui aveva una figlia .	PRO EPS QUC ROL NIL	PRON VERB DET NOUN PUNCT
10/0878				Il cane è bianco .	DEF CON NOW COL NIL	DET NOUN AUX ADJ PUNCT
10/0883	Cette maison est connue .	PRX CON NOW IST NIL	DET NOUN AUX VERB PUNCT	Questa casa è famosa .	PRX CON NOW IST NIL	DET NOUN AUX ADJ PUNCT
10/0887				Chi canta quella canzone ?	QUE ENS DST CON QUE	PRON VERB DET NOUN PUNCT
10/2336	La tour fait quinze mètres de haut .	DEF CON NOW QUC DEG UNK UOM NIL	DET NOUN VERB NUM NOUN ADP ADJ PUNCT	La torre è alta ø quindici metri .	DEF CON NOW DEG DIS QUC UOM NIL	DET NOUN AUX ADJ ADP NUM NOUN PUNCT
13/0713	Le Canada a battu les Etats - Unis .	UNK ORG UNK EPS UNK ORG UNK ORG NIL	DET PROPN AUX VERB DET NOUN PUNCT NOUN PUNCT	Il Canada batté gli USA .	DEF ORG EPS DEF ORG NIL	DET PROPN VERB DET PROPN PUNCT
14/0713	L' Italie a battu le Kazakhstan .	UNK ORG UNK EPS UNK ORG NIL	NOUN PUNCT PROPN AUX VERB DET PROPN PUNCT	L' Italia batté il Kazakhstan .	DEF ORG EPS DEF ORG NIL	PRON PUNCT PROPN VERB DET PROPN PUNCT
14/0716	Vladislav~Listyev a été assassiné à Moscou .	PER UNK PST EXS REL GPE NIL	PROPN PROPN PROPN AUX AUX VERB ADP PROPN PUNCT	ø Vladislav~Listyev fu ucciso a ø Mosca .	DEF PER PST EXS REL DEF GPE NIL	ADV PROPN AUX VERB ADP NOUN PROPN PUNCT
14/1740	Personne n' aime la guerre .	NOT UNK ENS UNK CON NIL	ADJ ADJ PUNCT VERB DET NOUN PUNCT	Nessuno ama la guerra .	NOT ENS DEF CON NIL	PRON VERB DET NOUN PUNCT
15/0716	Kraft a vendu Celestial~Seasonings .	ORG NOW EXT ORG NIL	PROPN AUX VERB PROPN PROPN PROPN PUNCT	ø Kraft vendette la Celestial~Seasonings .	DEF ORG EPS DEF ORG NIL	ADP PROPN VERB DET PROPN PUNCT
15/0816				Mia sorella è famosa .	HAS ROL NOW IST NIL	PROPN NOUN AUX ADJ PUNCT
15/0956				La porta è chiusa .	DEF CON NOW IST NIL	DET NOUN AUX VERB PUNCT
15/2508				La carne è congelata .	DEF CON NOW IST NIL	DET NOUN AUX VERB PUNCT
16/0761				ø Saddam~Hussein scappa negli Stati~Uniti .	DEF PER ENS DEF GPE NIL	ADP PROPN VERB ADP PROPN PUNCT
17/2559				ø Auckland è una città della ø Nuova~Zelanda .	DEF GPE ENS DIS CON REL DEF GPE NIL	ADP PROPN AUX DET NOUN ADP PROPN PROPN PUNCT
18/1618				Mio padre è alto .	HAS ROL NOW DEG NIL	DET NOUN AUX ADJ PUNCT
19/0711	Aurore Paquiss est marié à Chabrol .	PER EPS UNK PER UNK PER NIL	PROPN PROPN AUX ADJ ADP PROPN PUNCT	ø Aurore~Paquiss ha sposato ø Chabrol .	DEF PER NOW EXT DEF PER NIL	PROPN PROPN AUX VERB ADP PROPN PUNCT
19/0712	Henri~Ford a fondé l' entreprise Ford .	PER UNK EPS DEF ORG UNK NIL	PROPN PROPN PROPN AUX VERB DET PUNCT NOUN PROPN PUNCT	ø Henry~Ford fondò la Ford~Motor~Company .	DEF PER EPS DEF ORG NIL	ADV PROPN VERB DET NOUN PUNCT
19/0918				La frontiera è chiusa .	DEF CON NOW IST NIL	DET NOUN AUX VERB PUNCT
19/2243	Tom est mon cousin .	PER NOW HAS ROL NIL	PROPN AUX DET NOUN PUNCT	ø Tom è mio cugino .	DEF PER NOW HAS ROL NIL	ADV PROPN AUX DET NOUN PUNCT
20/0761	Senecal habite le Manoir~Cortland .	PER UNK REL GPE NIL	PROPN VERB DET NOUN PROPN PROPN PUNCT	ø Senacal risiede a ø Cortland~Manor .	DEF PER ENS REL DEF GPE NIL	ADP PROPN VERB ADP PROPN PROPN PUNCT
20/0785				ø Picasso è un famoso artista .	DEF PER ENS DIS IST ROL NIL	ADV PROPN AUX DET ADJ NOUN PUNCT
20/0851				Sta soffiando il vento .	NOW EXG DEF CON NIL	AUX VERB DET NOUN PUNCT
20/0874				ø Sumatra è un' isola .	DEF GPE ENS DIS CON NIL	ADV PROPN AUX DET PUNCT NOUN PUNCT
21/0860				Due più due fa quattro .	QUC CON QUC EXS QUC NIL	NUM ADV NUM VERB NUM PUNCT
21/0867	Marilyn~Monroe est morte il y a 33 ans .	PER UNK EPS UNK PST UNK QUC UOM NIL	PROPN PROPN PROPN AUX VERB PRON PRON VERB NUM NOUN PUNCT	ø Marilyn~Monroe è morta ø 33 anni fa .	DEF PER NOW EXT DIS QUC UOM PST NIL	ADP NOUN AUX VERB ADV NUM NOUN ADV PUNCT
21/1954	Beaucoup de gens admire Nikklo .	QUV UNK CON ENS GPE NIL	PRON ADP NOUN VERB PROPN PUNCT	ø Molta gente ammira ø Nikko .	DIS QUV CON ENS DEF GPE NIL	ADP DET NOUN VERB ADP PROPN PUNCT
23/0711	Sandra~Goudie a perdu contre Max~Purnell .	PER UNK PST UNK PER NIL	PROPN PROPN PROPN AUX VERB ADP PROPN PROPN PROPN PUNCT	ø Sandra~Goudie fu sconfitta da ø Max~Purnell .	DEF PER PST EXS REL DEF PER NIL	ADV PROPN AUX VERB ADP PROPN PROPN PUNCT
24/3251				Il gatto è sotto il tavolo .	DEF CON ENS REL DEF CON NIL	DET NOUN AUX ADP DET NOUN PUNCT
25/0713	Les inondations ravagent l' Europe .	UNK CON ENS UNK GPE NIL	DET NOUN VERB DET PUNCT PROPN PUNCT	ø Inondazioni devastano l' Europa .	DIS CON ENS DEF GPE NIL	ADP NOUN VERB X PUNCT PROPN PUNCT
25/0760	Edison a inventé le Kinétoscope .	PER UNK EPS DEF CON NIL	PROPN AUX VERB DET PROPN PUNCT	ø Edison ha inventato il Kinetoscopio .	DEF PER NOW EXT DEF CON NIL	PROPN PROPN AUX VERB DET PROPN PUNCT
26/0815				Il mio cane è bianco .	DEF HAS CON NOW COL NIL	DET DET NOUN AUX ADJ PUNCT
27/0712				ø Leloir nacque ø Argentina .	DEF PER EPS DEF GPE NIL	ADV PROPN VERB ADP PROPN PUNCT
27/0760	El~-~Nashar a été arrêté en Egypte .	PER UNK PST EXS REL GPE NIL	VERB AUX AUX VERB ADP PROPN PUNCT	ø El-Nashar è stato arrestato in ø Egitto .	DEF PER NOW PFT EXS REL DEF GPE NIL	ADV PROPN AUX AUX VERB ADP PROPN PROPN PUNCT
27/0761				ø Sylvia~Costas è la moglie di ø Andy~Sipowicz .	DEF PER ENS DEF ROL REL DEF PER NIL	NOUN PROPN AUX DET NOUN ADP NOUN NOUN PUNCT
27/0766	PM a acheté trois usines russes .	ORG UNK EPS QUC GPO CON NIL	PROPN AUX VERB NUM NOUN ADJ PUNCT	ø PM acquistò ø tre fabbriche russe .	DEF ORG EPS DIS QUC CON GPO NIL	ADV PROPN VERB ADP NUM NOUN ADJ PUNCT
27/1900	Le chien a mordu l' homme .	DEF CON UNK EPS DEF CON NIL	DET NOUN AUX VERB DET PUNCT NOUN PUNCT	Il cane ha morso l' uomo .	DEF CON NOW EXT DEF CON NIL	DET NOUN AUX VERB DET PUNCT NOUN PUNCT
28/2828	Tu es saoul !	PRO NOW IST EMP	PRON AUX ADJ PUNCT	Tu sei sbronza !	PRO NOW IST EMP	PRON AUX NOUN PUNCT
29/0711	Accardo a composé 24 Caprices .	PER UNK EPS QUC CON NIL	PROPN AUX VERB NUM NOUN PUNCT	ø Accardo compose i 24 Capricci .	DEF PER EPS DEF QUC CON NIL	ADV PROPN VERB DET NUM PROPN PUNCT
29/2716				La ragazza è solitaria .	DEF CON NOW IST NIL	DET NOUN AUX ADJ PUNCT
29/2910	Pourquoi Jane est - elle allée à la gare ?	QUE PST UNK PER EXS REL UNK DEF CON QUE	ADV PROPN AUX PUNCT PRON NOUN ADP DET NOUN PUNCT			
30/0761	Texas~Instruments produit des téléphones portables .	ORG ENS UNK CON CON NIL	PROPN PROPN NOUN VERB DET NOUN ADJ PUNCT	La Texas~Instruments produce ø telefoni~cellulari .	DEF ORG ENS DIS CON NIL	DET NOUN VERB ADP NOUN PUNCT ADJ PUNCT
30/0839				Lui è uno scienziato .	PRO ENS DIS ROL NIL	PRON AUX DET NOUN PUNCT
30/0889				Questa bandiera è molto carina .	PRX CON NOW INT IST NIL	DET NOUN AUX ADV ADJ PUNCT
30/0895	Les blessés ont été transportés en ambulance .	DEF ROL UNK EXS DIS UNK CON NIL	DET NOUN AUX AUX VERB ADP NOUN PUNCT	I feriti furono trasportati con un' ambulanza .	DEF ROL PST EXS REL DIS CON NIL	DET NOUN AUX VERB ADP DET PUNCT NOUN PUNCT
32/0930				ø Tom ha una macchina .	DEF PER ENS DIS CON NIL	ADV PROPN VERB DET NOUN PUNCT
33/0764	Le film ' speed ' a été réalisé par Jan~De~Bont .	DEF CON NIL NIL ART UNK PST EXS REL PER NIL	DET NOUN PUNCT NOUN PUNCT AUX AUX VERB ADP PROPN PROPN PROPN PROPN PROPN PUNCT	Il film ' Speed ' è stato diretto da ø Jan~De~Bont .	DEF CON NIL ART NIL NOW PFT EXS REL DEF PER NIL	DET NOUN PUNCT PROPN PUNCT AUX AUX VERB ADP NOUN PROPN PUNCT
34/0711	Le groupe de rock Spock~'~s~Beard vient du Japon .	DEF CON REL ORG NAM ENS REL GPE NIL	DET NOUN ADP NOUN NOUN PROPN PROPN VERB ADP PROPN PUNCT	Il gruppo~rock Spock's~Beard viene dal Giappone .	DEF CON ORG ENS DEF GPE NIL	DET NOUN PROPN NOUN X NOUN VERB ADP PROPN PUNCT
34/0764	Le film ' speed ' a été réalisé par Jan~De~Bont .	DEF CON NIL NIL ART UNK PST EXS REL PER NIL	DET NOUN PUNCT NOUN PUNCT AUX AUX VERB ADP PROPN PROPN PROPN PROPN PROPN PUNCT	Il film ' Speed ' è stato diretto da ø Jan~De~Bont .	DEF CON NIL ART NIL NOW PFT EXS REL DEF PER NIL	DET NOUN PUNCT PROPN PUNCT AUX AUX VERB ADP NOUN PROPN PUNCT
34/0794	Une éponge absorbe l' eau .	AND CON EXS UNK CON NIL	DET NOUN VERB DET PUNCT NOUN PUNCT	Una spugna assorbe l' acqua .	AND CON EXS DEF CON NIL	DET NOUN VERB DET PUNCT NOUN PUNCT
34/0879	L' eau n' est pas potable .	DEF CON UNK NOW NOT IST NIL	NOUN PUNCT NOUN NOUN PUNCT AUX ADV ADJ PUNCT	L' acqua non è potabile .	DEF CON NOT NOW IST NIL	PRON PUNCT NOUN ADV AUX ADJ PUNCT
35/0856	Personne n' est parfait .	NOT UNK NOW IST NIL	ADJ ADJ PUNCT AUX ADJ PUNCT	Nessuno è perfetto .	NOT NOW IST NIL	PRON AUX ADJ PUNCT
35/0875	Tout le monde s' est moqué de lui .	AND UNK EPS UNK UNK REL UNK PRO NIL	ADJ DET NOUN NOUN PUNCT AUX VERB ADP PRON PUNCT	Tutti hanno riso di lui .	AND NOW EXT REL PRO NIL	PRON AUX VERB ADP PRON PUNCT
36/1882	J' ai 18 ans .	PRO NOW QUC UNK NIL	NOUN PUNCT NOUN NUM NOUN PUNCT	Io ho ø 18 anni .	PRO ENS DIS QUC UOM NIL	PRON AUX ADP NUM NOUN PUNCT
37/0776	Tout le monde a ri .	AND UNK EPS UNK EPS NIL	ADJ DET NOUN AUX PROPN PUNCT	Tutti ridevano .	AND EPS NIL	PRON VERB PUNCT
39/0760	GUS a vendu Wehkamp .	ORG UNK EPS ORG NIL	X AUX VERB PROPN PUNCT	ø GUS ha venduto la Wehkamp .	DEF ORG NOW EXT DEF ORG NIL	ADV PROPN AUX VERB DET PROPN PUNCT
42/0712	André~Henri~Constant~van~Hasselt a fait ces études à Maastricht .	PER UNK PST EXS REL REL GPE NIL	PROPN PROPN PROPN PROPN PROPN SYM X X PROPN AUX VERB DET NOUN ADP PROPN PUNCT	ø André~Henri~Constant~van~Hasselt è stato educato a ø Maastricht .	DEF PER NOW PFT EXS REL DEF GPE NIL	PROPN PROPN PROPN PROPN AUX AUX ADJ ADP PROPN PROPN PUNCT
42/0765	ø Wolfgang~Amadeus~Mozart est né à ø Salzbourg .	DEF PER PST EXS REL DEF GPE NIL	ADP PROPN PROPN PROPN PROPN PROPN AUX VERB ADP NOUN PROPN PUNCT	ø Wolfgang~Amadeus~Mozart nacque a ø Salisburgo .	DEF PER EPS REL DEF GPE NIL	ADV PROPN VERB ADP NOUN PROPN PUNCT
42/2000	Il faudrait repasser cette chemise .	DEF NEC CON UNK EXG NIL	PRON VERB VERB DET NOUN PUNCT	La camicia deve essere stirata .	DEF CON NEC NOW EXS NIL	DET NOUN AUX AUX VERB PUNCT
45/0867				Il tè costa ø due euro .	DEF CON ENS DIS QUC UOM NIL	DET NOUN VERB ADP NUM NOUN PUNCT
46/0712	Ibrahim~Sofu a été assassiné par Metin~Kaplan .	PER UNK PST EXS REL PER NIL	PROPN PROPN NOUN AUX AUX VERB ADP PROPN PROPN PROPN PUNCT	ø Ibrahim~Sofu fu ucciso da ø Metin~Kaplan .	DEF PER PST EXS REL DEF PER NIL	ADV NOUN AUX VERB ADP NOUN PROPN PUNCT
46/2924	Le garçon parle à son grand-père .	DEF CON UNK UNK HAS ROL NIL	DET NOUN VERB ADP DET NOUN PUNCT	Il ragazzo sta parlando con suo nonno .	DEF CON NOW EXG REL HAS ROL NIL	DET NOUN AUX VERB ADP DET NOUN PUNCT
49/0765	Le Kanchenjunga fait 8586 mètres de haut .	UNK UOM NOW GEO DEG UNK QUC NIL	DET NOUN VERB NUM NOUN ADP ADJ PUNCT	Il Kanchenjunga è alto ø 8586 metri .	DEF GEO NOW DEG DIS QUC UOM NIL	DET PROPN AUX ADJ ADV NUM NOUN PUNCT
51/0914	Le policier porte un masque à gaz .	DEF ROL NOW DIS EXG UNK CON NIL	DET NOUN VERB DET NOUN ADP NOUN PUNCT	Il poliziotto sta indossando una maschera~anti-gas .	DEF ROL NOW EXG DIS CON NIL	DET NOUN AUX VERB DET NOUN ADJ ADJ NOUN NOUN PUNCT
54/0716	O~.~J~.~Simpson a été accusé de meurtre .	PER UNK PST EXS REL CON NIL	PROPN AUX AUX VERB ADP NOUN PUNCT	ø O.J.~Simpson fu accusato di ø omicidio .	DEF PER PST EXS REL DIS CON NIL	NOUN PROPN AUX VERB ADP NOUN NOUN PUNCT
54/0864	Betty est une tueuse en série .	PER ENS DIS ROL UNK ROL NIL	PROPN AUX DET NOUN ADP NOUN PUNCT	ø Betty è una serial~killer .	DEF PER ENS DIS ROL NIL	ADV PROPN AUX DET NOUN PUNCT NOUN PUNCT
56/0912				Io capisco .	PRO ENS NIL	PRON VERB PUNCT
57/0760	Jerry Reinsdorf a remporté 7 championnats .	PER NOW NOW EXT QUC CON NIL	PROPN PROPN AUX VERB NUM NOUN PUNCT	ø Jerry~Reinsdorf ha vinto ø 7 campionati .	DEF PER NOW EXT DIS QUC CON NIL	ADV PROPN AUX VERB ADV NUM NOUN PUNCT
59/0888	La porte n' était pas fermée .	DEF CON UNK PST NOT IST NIL	DET NOUN NOUN PUNCT AUX ADV ADJ PUNCT	La porta non era chiusa .	DEF CON NOT PST IST NIL	DET NOUN ADV AUX VERB PUNCT
61/0711	Spartan~Air~Lines a racheté United~Airways .	ORG UNK EPS ORG NIL	PROPN PROPN NOUN X X AUX VERB PROPN X PROPN PUNCT	ø Spartan~Air~Lines acquisì ø United~Airways .	DEF ORG EPS DEF ORG NIL	ADP PROPN VERB NOUN PROPN PUNCT
61/0764	Vladislav~Listyev a été tué à Moscou .	PER UNK PST EXS REL GPE NIL	PROPN PROPN PROPN AUX AUX VERB ADP PROPN PUNCT	ø Vladislav~Listyev fu ucciso a ø Mosca .	DEF PER PST EXS REL DEF GPE NIL	ADV PROPN AUX VERB ADP NOUN PROPN PUNCT
61/0780	Le docteur a examiné les patients .	DEF ROL UNK EPS DEF ROL NIL	DET NOUN AUX VERB DET NOUN PUNCT	Il dottore ha esaminato i pazienti .	DEF ROL NOW EXT DEF ROL NIL	DET NOUN AUX VERB DET NOUN PUNCT
61/0826				Un elefante ha un naso lungo .	AND CON EXS DIS CON DEG NIL	DET NOUN VERB DET NOUN ADJ PUNCT
61/0863				Il denaro è sul tavolo .	DEF CON ENS DEF CON NIL	DET NOUN VERB ADP NOUN PUNCT
63/2262	Un dollar vaut cent cents .	UNK UNK NIL IST UNK NIL	DET NOUN VERB NUM NOUN PUNCT	Un dollaro equivale a cento centesimi .	QUC UOM EXS REL QUC UOM NIL	DET NOUN VERB ADP NUM NOUN PUNCT
64/0712				ø Beverly lavorava per ø WEDCOR .	DEF PER EPS REL DEF ORG NIL	ADP PROPN VERB ADP NOUN PROPN PUNCT
65/0811	Ma femme a une pneumonie .	HAS ROL ENS DIS CON NIL	DET NOUN VERB DET NOUN PUNCT	Mia moglie soffre di ø polmonite .	HAS ROL ENS REL DIS CON NIL	PROPN NOUN VERB ADP NOUN ADJ PUNCT
66/0715				ø Nikos~Kourkoulos era un attore greco .	DEF PER EPS DIS ROL GPO NIL	ADV PROPN AUX DET NOUN ADJ PUNCT
66/0764				ø Klaus~Pohl è un drammaturgo tedesco .	DEF PER ENS DIS ROL GPO NIL	NOUN PROPN AUX DET NOUN ADJ PUNCT
66/2406				ø Ken è felice .	DEF PER NOW IST NIL	ADV PROPN AUX ADJ PUNCT
67/0768	J' ai soif .	PRO NOW IST NIL	NOUN PUNCT AUX NOUN PUNCT	Io sono assetata .	PRO NOW IST NIL	PRON AUX VERB PUNCT
67/0917	Mary a giflé Tom .	PER UNK EPS PER NIL	PROPN AUX VERB PROPN PUNCT	ø Mary schiaffeggiò ø Tom .	DEF PER EPS DEF PER NIL	ADP PROPN VERB ADV PROPN PUNCT
68/0769	J' ai mangé du caviar .	PRO UNK EPS CON CON NIL	NOUN PUNCT AUX VERB ADP NOUN PUNCT	Io ho mangiato del caviale .	PRO NOW EXT DIS CON NIL	PRON AUX VERB ADP NOUN PUNCT
69/0867	Il neige .	NIL ENS NIL	PRON NOUN PUNCT	Nevica .	ENS NIL	PROPN PUNCT
72/0945				L' uccello vola .	DEF CON ENS NIL	PRON PUNCT NOUN VERB PUNCT
73/0760	Louis~Riel a assassiné Scott .	PER UNK EPS PER NIL	PROPN PROPN PROPN AUX VERB PROPN PUNCT	ø Louis~Riel assassinò ø Scott .	DEF PER EPS DEF PER NIL	ADP PROPN VERB ADP PROPN PUNCT
73/2412	Ce seau fuit .	PRX CON ENS NIL	DET NOUN VERB PUNCT	Questo secchio perde .	PRX CON ENS NIL	DET NOUN VERB PUNCT
75/0716	Le pape Jean - Paul II est né en Pologne .	UNK PER ROL UNK PST PER UNK EXS REL GPE NIL	DET NOUN PROPN PUNCT PROPN ADJ AUX VERB ADP PROPN PUNCT	ø Papa Giovanni~Paolo~II è nato in ø Polonia .	DEF ROL PER NOW EXT REL DEF GPE NIL	ADP PROPN PROPN AUX VERB ADP PROPN PROPN PUNCT
75/0818				Io sono un panettiere .	PRO ENS DIS ROL NIL	PRON AUX DET NOUN PUNCT
