pos	sem	tok
PRON VERB VERB ADJ PRON VERB PRON PUNCT	PRO NOW IST PRO EPS PRO NIL	I 'm afraid you misunderstood me .
PRON VERB PRON ADJ NOUN PUNCT	PRO EPS HAS TOP CON NIL	He lost his favorite sweatshirt .
PRON VERB PART VERB PRON NOUN PUNCT	PRO EPS NIL EXS HAS CON NIL	She forgot to bring her swimsuit .
PROPN CCONJ PROPN VERB NOUN PUNCT	PER GRP PER EPS CON NIL	Tom and Mary played chess .
PRON AUX ADJ PUNCT ADP ADJ PUNCT	PRO NOW INT IST NIL	She 's kind~of shy .
PRON VERB PUNCT	QUE EPS QUE	Who talked ?
PROPN VERB PROPN NOUN ADP NOUN PUNCT	PER EPS PER QUV REL CON NIL	Tom gave Mary plenty of money .
PROPN AUX VERB NOUN PUNCT	PER NOW EXG CON NIL	Tom is grilling meat .
PRON AUX VERB ADP NOUN PUNCT	PRO PST EXS REL CON NIL	I was abducted by extraterrestrials .
PROPN VERB DET NOUN ADP PRON PUNCT	PER EPS DEF CON REL PRO NIL	Tom opened the door for her .
PRON AUX ADV ADJ PUNCT	PRX NOW MOR IST EMP	This is more important !
DET NOUN AUX PRON PUNCT	HAS CON ENS PRX QUE	Whose handbag is this ?
PRON NOUN VERB DET PROPN NUM PUNCT NOUN PUNCT	HAS CON EPS DEF ORG SCO NIL	Our team beat the Lions 3~to~0 .
PRON AUX AUX AUX VERB DET NOUN PUNCT	QUE POS NOW EXT DEF CON QUE	Who could 've broken the fishbowl ?
PRON NOUN AUX NUM NOUN ADJ PUNCT	HAS CON NOW QUC UOM IST NIL	Her watch is ten minutes slow .
PRON VERB DET NOUN PUNCT	PRO ENS NOT ROL NIL	She has no brothers .
DET NOUN AUX ADV ADJ ADP PRON NOUN PUNCT	DEF ROL NOW INT IST REL HAS ROL NIL	The greengrocer is very kind to his customers .
PRON AUX VERB DET NOUN PUNCT	PRO FUT EXS DIS CON NIL	I 'll eat an apple .
PROPN VERB ADP PRON NOUN CCONJ VERB PRON NOUN PUNCT	PER EPS REL HAS CON COO EPS HAS CON NIL	Tom took out his handkerchief and blew his nose .
PRON VERB ADP NOUN PUNCT	PRO ENS REL CON NIL	I suffer from asthma .
DET NOUN ADP DET NOUN AUX ADJ PUNCT	DEF CON REL DEF CON NOW IST NIL	The tines of the fork are bent .
DET NOUN PUNCT NOUN ADP DET NOUN AUX PRON NOUN PART PUNCT	DEF CON REL DEF CON ENS HAS ROL HAS NIL	The word~processor on the desk is my father 's .
PRON AUX PART VERB PROPN PART NOUN PUNCT	PRO POS NOT EXS PER HAS CON NIL	I can not forget Taninna 's face .
PRON AUX VERB PRON PUNCT	DIS PST EXG PRO NIL	Something was bothering him .
PRON VERB VERB DET ADJ ADJ PUNCT	PRO NOW DIS QUV IST NIL	I 'm a little hungry .
PRON VERB PRON PUNCT	PRO ENS PRO NIL	I understand you .
PROPN PART NOUN AUX ADJ PUNCT	PER HAS CON NOW COL NIL	Ken 's dog is white .
DET NOUN AUX DET NOUN VERB ADP PROPN PUNCT	QUE CON FUT DEF CON EXS REL GPE QUE	What time will the flight arrive in Tokyo ?
PRON VERB PRON NOUN PUNCT	PRO ENS HAS CON NIL	I hate her hat .
VERB DET NOUN PART VERB VERB PRON PUNCT	EXS DEF CON REL AND ENS PRO NIL	Give the book to whomever wants it .
PRON VERB NOUN PUNCT NOUN PUNCT NOUN PUNCT	PRO ENS CON NIL	I like chocolate~ice~cream .
PRON VERB PRON PUNCT	PRO EPS REF NIL	I amused myself .
PRON NOUN AUX NUM NOUN ADJ ADP PRON NOUN PUNCT	HAS ROL NOW QUC UOM MOR REL HAS ROL NIL	My father is two years younger than my mother .
PROPN AUX VERB PUNCT	PER PST EXG NIL	Tom was misbehaving .
DET ADJ NOUN VERB ADP PROPN PROPN PROPN PUNCT	DEF IST ROL ENS REL GPE NIL	The famous conductor lives in New~York .
DET NOUN ADP DET NOUN AUX VERB ADP DET NOUN ADP PROPN PUNCT	DEF CON REL PRX ROL NOW EXS REL AND CON REL GPE NIL	The name of this statesman is known to every body in Japan .
PRON VERB NUM NOUN NOUN PUNCT	PRO EPS QUC CON PST NIL	I caught three fish yesterday .
PRON AUX AUX VERB PROPN ADP DET ADJ NOUN PUNCT	PRO NOW PFT EXG CON REL DIS QUV UOM NIL	She has been studying French for a few years .
DET NOUN VERB DET NOUN PRON AUX PART VERB PRON PUNCT	DEF ROL EPS DEF CON PRO PST NOT EXT DIS NIL	The thief told the police he had n't stolen anything .
DET NOUN VERB ADP PUNCT	DEF CON EPS REL NIL	The plane took off .
PRON AUX ADJ PUNCT	PRO NOW IST NIL	We 're impressed .
PROPN AUX ADV ADJ ADP PROPN PUNCT	PER PST EQU IST REL PER NIL	Hans was as pleased as Punch .
PRON AUX VERB NOUN PUNCT	AND NOW EXG CON NIL	Everyone is wearing nametags .
SCONJ AUX DET PROPN PUNCT	QUE ENS DIS CON QUE	Where 's an ATM ?
PRON VERB DET NOUN PUNCT	PRO EPS DEF CON NIL	He designed the car .
PRON VERB SCONJ PRON AUX PUNCT	PRO ENS QUE PRO ENS NIL	I know where you are .
PROPN VERB DET NOUN ADP SYM NOUN PUNCT ADP DET NOUN PUNCT	PER ENS DEF CON AND DEF CON NIL	Tom plays the drums as~well~as the organ .
PROPN AUX ADJ ADP PRON PUNCT AUX PART PRON PUNCT	PER NOW IST REL PRO NIL NOW NOT PRO QUE	Tom is angry at you , is n't he ?
PROPN CCONJ PROPN AUX PRON VERB ADP PROPN PUNCT	PER GRP PER PST AND EXS REL GPE NIL	Tom and Mary were both born in Boston .
PROPN PROPN PROPN VERB ADP PROPN NUM PUNCT NUM PUNCT	PER EPS REL MOY DOM NIL YOC NIL	Sadako~Sasaki died on October 25 , 1955 .
DET NOUN PROPN NOUN VERB DET NOUN PUNCT	AND CON EXS DIS CON NIL	An orange~tree provides an orange .
DET NOUN VERB NOUN ADP DET NOUN PUNCT	DEF CON EPS CON REL DEF CON NIL	The girl bought milk from the market .
PRON AUX VERB PRON NOUN ADP X ADP PUNCT	PRO NOW EXG HAS CON IST NIL	You are wearing your shirt inside~out .
DET NOUN VERB DET NOUN ADP DET NOUN PUNCT	DEF CON EPS DEF ROL REL DEF CON NIL	The man chased the robber into the street .
PROPN VERB SCONJ PRON VERB PUNCT	PER ENS QUE PRO ENS NIL	Tom knows where I work .
PRON VERB VERB ADJ ADV PUNCT	PRO NOW IST NOW NIL	I 'm busy now .
DET NOUN ADP PROPN AUX DET NOUN PUNCT	PRX CON REL PER ENS DIS CON NIL	This painting by Rembrandt is a masterpiece .
PROPN AUX ADV ADJ PUNCT	PER NOW INT IST NIL	Tom is very untalented .
PRON VERB PRON NUM NOUN ADV PUNCT	PRO EPS PRO QUC UOM PST NIL	I saw him three years ago .
PROPN VERB PROPN ADP DET NOUN PUNCT	PER EPS PER REL DEF CON NIL	Tom called Mary to the telephone .
PRON VERB SCONJ PRON VERB PRON PUNCT	PRO ENS DIS PRO ENS PRO NIL	I wonder if he likes me .
VERB VERB PUNCT	EXS EXG NIL	Stop yelling .
PRON NOUN VERB PUNCT	HAS CON ENS NIL	My head hurts .
PROPN VERB PRON NOUN PUNCT	PER EPS HAS CON NIL	Mary oiled her bicycle .
DET NOUN VERB NOUN CCONJ NOUN PUNCT	DEF ROL ENS CON AND CON NIL	The hunter shoots stags and hares .
PROPN VERB ADP PROPN PUNCT	PER EPS REL PER NIL	Tom talked to Mary .
DET NOUN VERB ADV PUNCT	DEF CON EPS ALT NIL	The crowd applauded again .
PROPN AUX VERB ADP PROPN PUNCT	PER NOW EXG REL PER NIL	Tom is waiting for Mary .
PROPN VERB ADP DET NOUN PUNCT	PER EPS REL DIS CON NIL	Tom acted like a baby .
PRON AUX ADJ PUNCT	PRO NOW IST NIL	He 's rich .
PRON AUX PART VERB NOUN PUNCT	PRO NOW NOT EXS CON EMP	He does n't need money !
PRON VERB PRON PRON NOUN PUNCT	PRO EPS PRO HAS CON NIL	She showed me his album .
PRON AUX VERB ADP DET NOUN PUNCT	PRO PST EXS REL DEF CON NIL	He was stabbed in the back .
PRON AUX VERB DET NOUN PUNCT	PRO POS EXS DIS CON NIL	I can ride a horse .
DET NOUN VERB SCONJ DET NOUN AUX ADJ PUNCT	DEF CON EPS SUB DEF ROL PST IST NIL	The car crashed because the driver was careless .
DET NOUN AUX PART VERB DET ADJ SYM NOUN	DEF CON NOW NOT EXG DIS CON	The woman is not playing an electric~guitar
PRON VERB VERB ADV ADJ PART VERB PRON PUNCT	PRO NOW INT IST NIL EXS DST NIL	I 'm too drunk to do that .
PRON VERB ADP PRON ADJ NOUN ADP DET ADJ NOUN PUNCT	PRO EPS REL HAS IST CON REL DIS IST CON NIL	I traded in my old car for a new one .
PROPN PROPN PROPN VERB DET NOUN VERB PUNCT NOUN PUNCT	PER EPS DIS CON CON NIL	Soto~Toro invented a 3D measuring~system .
ADJ NOUN ADP PROPN AUX VERB PUNCT	GPO CON REL GPE NOW EXT NIL	Dutch photos of Srebrenica have disappeared .
PROPN SYM X PROPN PROPN VERB ADP NUM PUNCT	PER EPS REL YOC NIL	Charles~de~Gaulle died in 1970 .
PROPN PROPN PROPN AUX VERB ADP PROPN PUNCT	GPE NOW IST REL GPE NIL	British~Columbia is located in Canada .
PROPN AUX VERB ADP PROPN PROPN PROPN PUNCT	GPE NOW IST REL GPE NIL	Pretoria is located in Côte~d'Ivoire .
PROPN PROPN PROPN VERB NOUN ADP NUM PUNCT	PER EPS CON REL YOC NIL	Alfred~Nobel invented dynamite in 1866 .
PRON VERB NOUN ADP NOUN ADP DET NOUN PUNCT	NIL ENS QUV REL CON REL DEF CON NIL	There are millions of stars in the universe .
PRON AUX ADJ ADP PRON PUNCT	PRO NOW IST REL REF NIL	I am ashamed of myself .
PROPN AUX ADJ ADP PRON NOUN PUNCT	PER NOW MOR REL HAS ROL NIL	Tom is taller than his mother .
PRON AUX PART VERB PRON NOUN PUNCT	PRO NEC NOT EXS HAS CON NIL	You must n't use my pen .
DET NOUN ADP PRON NOUN AUX ADJ PUNCT	DEF CON REL HAS CON NOW COL NIL	The roof of my house is red .
PRON VERB PRON NOUN VERB PUNCT	PRO EPS HAS CON EXS NIL	I got my bicycle repaired .
PRON VERB ADP NOUN PUNCT	PRO EPS REL CON NIL	I showered before breakfast .
PRON VERB NOUN ADP PRON PUNCT	PRO ENS NOT REL PRO NIL	I know none of them .
PRON VERB NUM NOUN ADP DET NOUN PUNCT	PRO EPS QUC UOM REL PRX CON NIL	He paid 1,000 yen for this book .
PRON AUX PART VERB NOUN PUNCT	PRO NOW NOT EXS CON NIL	He does not like cats .
PRON VERB PART VERB DET NOUN PUNCT	PRO EPS NIL EXS DEF CON NIL	She forgot to mail the letter .
DET NOUN AUX PART ADJ PUNCT	PRX CON NOW NOT IST NIL	This snake is not venomous .
PROPN PROPN VERB PUNCT	ROL PER EPS NIL	Mr. Smith came .
PRON NOUN VERB PUNCT	HAS CON ENS NIL	My butt hurts .
PRON AUX VERB NOUN PUNCT	PRO NOW EXG CON NIL	She 's wearing sunglasses .
PRON AUX VERB PROPN PUNCT	PRO NOW EXG CON NIL	He 's studying Chinese .
PRON VERB NOUN PUNCT	PRO EPS CON NIL	He brewed beer .
PRON VERB ADP DET ADJ NOUN PUNCT	PRO ENS REL DIS IST CON NIL	She suffers from a contagious disease .
PRON AUX VERB ADP PROPN PUNCT	PRO PST EXS REL GPE NIL	I was born in Russia .
PRON VERB PRON NOUN PUNCT	PRO EPS HAS CON NIL	He abused my trust .
DET NOUN AUX VERB ADP DET NOUN ADP DET NOUN PUNCT	DEF CON NOW IST REL DEF CON REL DEF CON NIL	The park is located in the center of the city .
PROPN PROPN PROPN VERB DET PROPN PROPN PROPN PUNCT	PER EPS DEF ART NIL	John~Dalton created the Atomic~Theory .
PROPN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Tom spilled the milk .
PROPN AUX ADJ ADP PRON PRON VERB PUNCT	PER PST IST REL DIS PRO EPS NIL	Mary was impressed with what she saw .
PROPN VERB PRON PUNCT	PER EPS PRO NIL	Betty murdered him .
PRON VERB ADV ADJ NOUN PUNCT	NIL ENS ALT GPO ROL NIL	There are also French tourists .
PRON AUX ADV ADJ PUNCT	PRO NOW INT IST NIL	You 're very sexy .
