pos	sem	tok
PROPN AUX ADV ADJ ADP DET NOUN PUNCT	PER NOW MOR IST REL HAS ROL NIL	Tom è più alto di sua madre .
PRON VERB NUM NOUN ADP DET NOUN PUNCT	PRO EPS QUC UOM REL PRX CON NIL	Lui pagò 1000 yen per questo libro .
DET NOUN PROPN AUX VERB PUNCT	DEF ROL PER NOW EXT NIL	Il signor Smith è venuto .
PRON VERB NOUN PUNCT	PRO EPS CON NIL	Lui fermentava birra .
PRON VERB ADP DET NOUN ADJ PUNCT	PRO ENS REL DIS CON IST NIL	Lei soffre di una malattia contagiosa .
PROPN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Tom rovesciò il latte .
PRON VERB ADV NOUN ADJ PUNCT	NIL ENS ALT ROL GPO NIL	Ci sono anche turisti francesi .
ADV VERB PROPN PUNCT	QUE EPS PER QUE	Come morì Harry~Houdini ?
PROPN NOUN ADP NOUN PUNCT	PER EPS DEF CON NIL	Tom nuotò nel fiume .
PRON AUX VERB DET PUNCT NOUN ADP PROPN PUNCT	DIS NOW EXT DEF CON REL PER NIL	Qualcuno ha rubato l' auto di Tom .
DET DET NOUN PRON VERB PUNCT	DEF HAS CON PRO EPS NIL	Il suo discorso mi annoiò .
PRON VERB DET NOUN ADJ PUNCT	PRO ENS DIS CON GPO NIL	Io voglio un muffin inglese .
DET NOUN AUX VERB PUNCT	DEF CON NOW EXG NIL	Il gatto sta miagolando .
DET NOUN ADP NOUN AUX VERB PUNCT	DEF CON REL CLO NOW EXG NIL	La sirena di mezzogiorno sta suonando .
PRON AUX ADJ ADP NOUN PUNCT	PRO NOW IST REL CON NIL	Io sono allergico al glutine .
PRON VERB DET NOUN PUNCT	PRO ENS AND CON NIL	Mi piacciono i puzzle .
PRON AUX VERB DET DET NOUN PUNCT	PRO NOW EXG DEF HAS CON NIL	Io sto cucendo la mia camicia .
DET NOUN AUX DET NOUN PUNCT	DST CON ENS DIS ROL NIL	Quel tipo è un bullo .
DET NOUN AUX VERB DET ADJ NOUN ADP NOUN ADP NUM PUNCT	DEF ORG NOW EXT DIS IST CON REL MOY EQU YOC NIL	La Steve~Miller~Band ha pubblicato un nuovo album nel giugno del 2010 .
DET NOUN AUX ADV ADJ PUNCT	DEF CON NOW INT DEG NIL	Il lago è molto profondo .
PRON PRON VERB PUNCT	PRO PRO EPS NIL	Lei lo perdonò .
PROPN AUX VERB ADP NOUN PUNCT	PER NOW EXG REL CON NIL	Tom sta soffrendo di cancro .
AUX ADV VERB PUNCT	PST ALT IST NIL	Ero già stanca .
PRON AUX VERB ADP NOUN PUNCT	PRO ENS EXS DIS CON NIL	Io voglio mangiare del gelato .
PROPN AUX VERB PUNCT	PER NOW EXT NIL	Pua ha cantato .
AUX VERB DET NOUN PUNCT	PST EXS DIS CON NIL	Fu firmato un trattato .
PROPN AUX ADJ PUNCT	PER NOW DEG NIL	Tom è alto .
PROPN AUX VERB DET NOUN ADJ ADP PROPN PUNCT	PER NOW EXT DIS CON IST REL PER NIL	Dan ha preparato un pranzo rapido per Linda .
PROPN VERB DET DET NOUN PUNCT	PER ENS DEF HAS CON NIL	Mary ama il suo pony .
PROPN VERB ADP DET PUNCT NOUN PUNCT	NOW EXG REL DST CON NIL	Sto mirando a quell' anatra .
AUX VERB PUNCT	NOW IST NIL	È corretto .
NUM NOUN AUX AUX VERB PUNCT	QUC CON NOW PFT EXS NIL	Tredici case sono state distrutte .
DET NOUN VERB PUNCT	DEF CON EPS NIL	La lampadina scoppiò .
AUX ADJ PUNCT	NOW IST NIL	È realistico .
PRON AUX VERB PUNCT	PRO NOW EXT NIL	Noi abbiamo aspettato .
PROPN AUX ADJ ADP PRON PUNCT	PER NOW IST REL DIS QUE	Tom è allergico a qualcosa ?
AUX ADJ PUNCT	FUT IST NIL	Sarà spaventosa .
PRON AUX VERB DET NOUN PUNCT	NOT POS EXS PRX CON NIL	Nessuno può risolvere questo problema .
PRON AUX ADJ PUNCT	PRO NOW DEG NIL	Lui è vecchio .
PROPN AUX ADJ PUNCT	PER NOW IST NIL	Tom è testardo .
VERB ADJ PUNCT	NOW IST NIL	Ha freddo .
PROPN PROPN PUNCT	PER EPS NIL	Tom applaudì .
AUX VERB PUNCT	NOW EXG NIL	Sta mangiando .
PRON CCONJ PRON AUX PRON ADV ADJ PUNCT	PRO GRP PRO NOW AND INT IST NIL	Tu e lui siete entrambi molto gentili .
PROPN ADV AUX VERB PUNCT	PER NOT NOW EXG NIL	Tom non sta dormendo .
AUX VERB PUNCT	NOW IST NIL	Sono occupata .
DET DET NOUN ADJ PUNCT	DEF HAS CON ENS NIL	Il suo dito sanguina .
PRON AUX VERB ADP NOUN NUM PUNCT	PRO NOW EXT DEF CON NTH NIL	Loro sono arrivati sul volo 201 .
PROPN VERB PUNCT	PER EPS NIL	Tom balbettò .
PROPN AUX VERB DET ADJ NOUN NOUN ADP PROPN PUNCT	PER NOW EXT DIS CON REL PER NIL	Tom ha pagato un hot~dog per Mary .
AUX ADJ PUNCT	FUT IST NIL	Sarà duro .
AUX VERB PUNCT	NOW IST NIL	Sono morta .
PRON AUX ADP ADV PUNCT	PRO NOW IST NOW NIL	Lui è fuori ora .
PRON AUX VERB DET NOUN ADJ PUNCT	PRO NOW EXT DIS CON IST NIL	Io ho preso un raffreddore terribile .
PRON ADV VERB DET NOUN PUNCT	PRO NOT ENS DEF CON NIL	Io non parlo il turco .
PROPN ADV AUX ADJ PUNCT	PER NOT NOW IST NIL	Tom non è disonesto .
DET NOUN AUX VERB NUM NOUN PUNCT	PRX CON NOW EXT QUC ROL NIL	Questa conferenza ha attirato 150 diplomatici .
PROPN VERB ADP NOUN PUNCT	NOW EXG DEF CON NIL	Sto andando al cinema .
DET NOUN AUX VERB DET NOUN PUNCT	DEF CON NOW EXG DEF CON NIL	Il bambino sta mangiando la carne .
PRON PRON VERB PUNCT	NOT PRO ENS NIL	Nessuno lo sa .
PROPN AUX AUX VERB NOUN PUNCT	PER NOW PFT EXS CON NIL	Tom è stato eletto presidente .
DET NOUN VERB NUM NOUN PUNCT	PRX CON ENS QUC UOM NIL	Questa maglietta costa dieci dollari .
DET NOUN NOUN ADV PUNCT	DEF CON EPS REL NIL	Il gatto corse via .
DET NOUN ADJ AUX ADJ PUNCT	DEF CON COL NOW IST NIL	La gonna rossa è nuova .
PRON AUX VERB DET NOUN PUNCT	NOT NOW EXT DEF CON NIL	Nessuno ha risolto il problema .
PRON VERB DET NOUN PUNCT	PRO ENS DIS CON NIL	Io mangio una mela .
DET DET NOUN AUX ADV ADJ PUNCT	DEF HAS ROL NOW INT IST NIL	La mia ragazza è molto gelosa .
PRON VERB PUNCT PROPN PUNCT PUNCT	QUE EPS NIL ART NIL QUE	"Chi cantava "" Tennessee~Waltz "" ?"
PROPN AUX VERB PUNCT	PER NOW IST NIL	Emily è assetata .
PRON AUX VERB ADP NOUN PUNCT	PRO NOW EXG REL CON NIL	Loro stanno giocando a scacchi .
VERB PRON PUNCT	EPS AND NIL	Saltarono tutti .
PRON AUX VERB PUNCT	PRO NOW EXG NIL	Lo stanno tenendo .
AUX VERB PROPN PUNCT	NOW EXT PER NIL	Ho raccomandato Tom .
PROPN AUX ADJ PUNCT	PER NOW IST NIL	Tom è insicuro .
DET DET NOUN VERB PUNCT	AND DEF CON EPS NIL	Entrambi gli uomini risero .
DET NOUN VERB ADP PRON PUNCT	PRX CON ENS REL PRO NIL	Questa racchetta appartiene a me .
PROPN AUX ADV ADJ PUNCT	PER PST INT IST NIL	Tom era molto calmo .
AUX ADJ PUNCT	NOW DEG NIL	Sono vecchia .
DET NOUN ADJ VERB NUM NOUN PUNCT	PRX CON IST ENS QUC UOM NIL	Questo orologio antico vale mille dollari .
DET NOUN AUX AUX VERB PUNCT	DEF CON NOW PFT EXS NIL	Il rapporto è stato riscritto .
DET NOUN VERB NUM NOUN PUNCT	PRX CON ENS QUC CON NIL	Questa sala contiene 2000 persone .
PRON VERB PROPN PUNCT	PRO EPS PER NIL	Mi piaceva Tony .
PRON VERB DET ADJ NOUN PUNCT	PRO ENS DIS IST CON NIL	Lei indossa un bel cappello .
PRON AUX ADJ ADP NUM NOUN PUNCT	PRO NOW IST REL QUC UOM NIL	Io sono incinta di quattro mesi .
PRON AUX VERB ADP DET NOUN PUNCT	DIS NOW EXT REL DEF CON NIL	Qualcuno ha bussato al la porta .
PRON PUNCT NOUN AUX ADJ PUNCT	DEF CON PST IST NIL	L' ufficio era deserto .
DET NOUN AUX ADJ PUNCT	DEF CON NOW IST NIL	Il cane è bello .
PRON VERB ADP NOUN PUNCT	PRO ENS DIS CON NIL	Lui fonde del rame .
AUX ADJ PUNCT	NOW IST NIL	È enorme .
DET PROPN PROPN VERB DET PUNCT PROPN PUNCT VERB ADP NOUN ADP NUM PUNCT	DEF ROL PER EPS DEF GPE REL MOY REL YOC NIL	Il Capitano Scotto raggiunse l' Isola~di~Scott nel dicembre del 1902 .
PRON VERB PROPN PUNCT	PRO EPS PER NIL	Io votai Ken .
DET NOUN VERB NUM NOUN PUNCT	DEF CON EPS QUC UOM NIL	La pioggia durò cinque giorni .
PROPN AUX VERB DET NOUN ADP NOUN PUNCT	PER NOW EXG DIS CON REL CON NIL	Mary sta indossando un vestito di plastica .
PROPN AUX VERB PUNCT	PER NOW IST NIL	Tom è disidratato .
DET NOUN NOUN ADJ VERB PUNCT	DEF CON EPS NIL	Il mercato~azionario cadde .
PRON AUX VERB ADP DET NOUN PUNCT	PRO NOW IST REL PRX CON NIL	Lei è annoiata da questo romanzo .
AUX ADJ PUNCT	NOW IST NIL	È patetico .
PROPN ADV AUX DET ADJ NOUN PUNCT ADJ PUNCT	PER NOT ENS DIS IST ROL NIL QUE QUE	Judy non è una buona cantante , vero ?
PRON AUX VERB DET NOUN PUNCT	PRO NOW EXT DIS CON NIL	Io ho pagato una multa .
NUM ADJ PUNCT	NOW IST NIL	Sei sessista .
DET NOUN AUX VERB DET PUNCT NOUN PUNCT	DIS CON NOW EXG DEF CON NIL	Una bambina sta suonando l' arpa .
VERB NUM PUNCT ADV PUNCT	EPS QUC UOM NIL	Passò mezz' ora .
PROPN AUX VERB PUNCT	PER NOW EXG NIL	Tom sta singhiozzando .
PROPN VERB ADP PROPN PUNCT	PER EPS REL PER NIL	Tom sparò a Mary .
PROPN AUX DET NOUN PUNCT	PER ENS DIS ROL NIL	Tom è uno stacanovista .
PROPN NOUN AUX ADV ADJ ADP PRON PUNCT	HAS ROL NOW MOR IST REL PRO NIL	Mia sorella è più giovane di me .
PRON VERB DET NOUN ADP PROPN PUNCT	PRO EPS DIS CON REL GPE NIL	Lui scrisse un libro sulla Cina .
DET NOUN AUX VERB ADP PROPN PUNCT	HAS ROL NOW EXT REL GPE NIL	Mio figlio è andato in Iran .
PROPN AUX VERB PUNCT	PER PST EXG NIL	Tom stava balbettando .
PRON VERB NUM NOUN PUNCT	PRO ENS QUC CON NIL	Io ho due gatti .
PROPN VERB DET NOUN PUNCT	PER ENS DEF CON NIL	Tom ha lo scorbuto .
PROPN AUX VERB PRON NOUN PUNCT	PER NOW EXG DIS CON NIL	Tom sta indossando uno smoking .
PRON VERB DET NOUN ADJ PUNCT	PRO ENS DIS CON IST NIL	Io ho un cane carino .
DET NOUN VERB ADV PUNCT	DEF ROL EPS IST NIL	Il locandiere sorrise maliziosamente .
PROPN AUX VERB PUNCT	PER NOW EXG NIL	Tom sta imbrogliando .
DET NOUN AUX ADJ PUNCT	PRX CON NOW DEG NIL	Questo cane è grande .
PRON ADP PRON PRON VERB PUNCT	NOT REL PRO PRO EPS NIL	Nessuno di noi lo voleva .
DET NOUN AUX ADJ PUNCT	DEF CON PST IST NIL	Il ristorante era vuoto .
AUX VERB DET PUNCT NUM NOUN PUNCT	PER EPS DEF DOM MOY NIL	Carl~Smith morì l' 8 agosto .
NOUN ADJ PUNCT	PER EPS NIL	Sita sorrise .
PRON PUNCT NOUN VERB NOUN PUNCT	DEF CON NOW IST NIL	L' uomo ha ragione .
DET NOUN AUX ADP DET NOUN PUNCT	DIS CON ENS REL DEF CON NIL	Un biscotto è sotto il tavolo .
PROPN NOUN AUX VERB NUM NOUN PUNCT	HAS ROL NOW EXT QUC CON NIL	Mia madre ha cotto dieci uova .
PRON AUX VERB PUNCT	PRO PST EXG NIL	Io stavo fumando .
PRON VERB DET NOUN PUNCT	PRO ENS DIS CON NIL	Lui odia le carote .
NOUN AUX VERB DET NOUN ADP NUM NOUN PUNCT	CON NOW EXT DEF CON REL QUC UOM NIL	Dio ha creato il mondo in sei giorni .
DET NOUN ADJ PUNCT	DEF CON ENS NIL	Il tacchino gloglotta .
DET NOUN AUX VERB NUM NOUN PUNCT	PRX CON NOW EXS QUC UOM NIL	Questo computer è costato tremila dollari .
PRON VERB ADP NOUN PROPN PUNCT	PRO ENS REL CON NTH NIL	Noi viviamo sul pianeta Terra .
DET NOUN ADJ PUNCT	DEF CON EFS NIL	Il cane abbaierà .
PRON PUNCT ADJ VERB PUNCT	DEF GPO ENS NIL	L' irlandese risponde .
PRON AUX VERB DET NOUN PUNCT	PRO NOW EXT DIS CON NIL	Lei ha tagliato alcune cipolle .
PROPN AUX VERB PUNCT	PER NOW EXG NIL	Tom sta cucinando .
PRON AUX ADV ADJ PUNCT	PRO NOW INT IST NIL	Io sono davvero pigra .
DET DET NOUN AUX VERB PUNCT	DEF HAS CON NOW IST NIL	La mia valigia è rotta .
DET DET NOUN VERB PUNCT	AND DEF CON EPS NIL	Tutti i ragazzi ballavano .
AUX VERB DET PUNCT NOUN PUNCT	NOW EXT DST CON NIL	Ho comprato quell' auto .
PRON PRON PRON AUX VERB PUNCT	NOT PRO NOW EXT NIL	Nessuno l' ha chiamato .
ADV PRON AUX VERB PUNCT	ALT PRO PST IST NIL	Anche lui era sorpreso .
ADP PRON ADV VERB DET NOUN PUNCT	REL PRO NOT ENS DST CON NIL	A me non piace quella donna .
ADP NUM NOUN VERB DET PROPN PUNCT	REL YOC PER EPS DEF GPE NIL	Nel 1497 John~Cabot esplorò il Canada .
PROPN VERB PUNCT	PER ENS NIL	Tom canta .
PRON PUNCT NOUN AUX VERB DET NOUN PUNCT	DEF ROL NOW EXT DEF CON NIL	L' arciere ha ucciso il cervo .
PRON VERB DET ADJ PUNCT	PRO ENS DIS CON NIL	Io guido una decappottabile .
PROPN AUX VERB NUM NOUN PUNCT	PER NOW EXT QUC CON NIL	Tom ha fatto venti flessioni .
PROPN AUX VERB NUM NOUN ADP PROPN PUNCT	PER NOW EXT QUC UOM REL GPE NIL	Tom ha passato tre settimane a Boston .
AUX ADJ PUNCT	PST IST NIL	Ero stanco .
DET PROPN AUX VERB NUM NOUN ADP PROPN PUNCT	DEF GPE NOW EXT QUC CON REL GPE NIL	La Romania ha inviato 730 truppe in Iraq .
PROPN ADV AUX VERB DET NOUN PUNCT	PER NOT NOW EXT DEF CON NIL	Bill non ha commesso il crimine .
PRON AUX VERB DET NOUN PUNCT	PRO NOW EXT DIS CON NIL	Io ho rotto un bicchiere .
AUX ADJ PUNCT	NOW IST NIL	È gratuita .
DET NOUN AUX AUX VERB ADP NUM PUNCT	PRX CON NOW PFT EXS DEF YOC NIL	Questa scuola è stata fondata nel 1650 .
PRON VERB DET NOUN PUNCT	PRO ENS AND CON NIL	Mi piace la cioccolata .
DET NOUN VERB NUM NOUN PUNCT	PRX CON ENS QUC UOM NIL	Questo libro costa 4 dollari .
PRON ADV AUX VERB ADP PROPN PUNCT	PRO NOT NOW EXG REL PER NIL	Io non sto lavorando per Tom .
AUX ADJ PUNCT	PST IST NIL	Era spaventoso .
PROPN AUX ADV ADJ PUNCT	PER NOW ALT IST NIL	Tom è anche nervoso .
AUX VERB PUNCT	PST EXG NIL	Stavi giocando .
PROPN VERB CCONJ VERB PUNCT	PER EPS COO EPS NIL	Tom sorrise e annuì .
DET NOUN AUX VERB PUNCT	DEF ROL NOW EXT NIL	Il soldato ha corso .
PROPN VERB PUNCT	PER EPS NIL	Michael~Jackson morì .
PROPN AUX VERB PUNCT	PER NOW EXG NIL	Tom sta ballando .
PROPN AUX AUX ADJ ADP PRON PUNCT	PER NOW PFT IST REL PRO NIL	Tom è stato gentile con me .
DET NOUN AUX VERB PUNCT	DEF CON NOW EXG NIL	I gatti stanno miagolando .
AUX ADV ADJ PUNCT	NOW ALT IST QUE	Sei ancora arrabbiato ?
ADV PRON AUX VERB PUNCT	NOT AND NOW IST NIL	Non tutti sono preoccupati .
PRON VERB DET NOUN PUNCT	PRO EPS DEF CON NIL	Lui odiava la scuola .
PRON PUNCT NOUN PROPN AUX VERB PROPN PUNCT	DEF CON GEO NOW EXT GPE NIL	L' uragano Katrina ha devastato New~Orleans .
PRON VERB ADJ ADP PRON PUNCT	PRO NOW IST REL PRO EMP	Io vado pazza per lui !
PRON VERB PUNCT	AND EFS NIL	Tutti moriranno .
AUX ADJ PUNCT	NOW DEG QUE	È lontana ?
DET DET NOUN PRON NOUN PUNCT	DEF HAS CON PRO ENS NIL	Il suo cane mi abbaia .
ADV VERB DET NOUN PROPN PUNCT	QUE EPS DEF ROL PER QUE	Dove nacque il regista Michelangelo~Antonioni ?
ADV AUX VERB DET NOUN PUNCT	NOT NOW EXT DST CON NIL	Non ho bevuto quel latte .
PRON AUX VERB DET NOUN PUNCT	PRO PST EXT AND CON NIL	Lui aveva perso ogni speranza .
PRON ADV VERB NOUN PUNCT	PRO NOT EFS CON NIL	Loro non mangeranno carne .
DET NOUN AUX VERB ADP NUM PUNCT	DEF CON NOW EXT REL CLO NIL	Il film è cominciato alle 2 .
DET NOUN ADV AUX ADJ PUNCT	PRX CON NOT NOW IST NIL	Questo scoiattolo non è timido .
PROPN VERB ADV PUNCT	PER NOW IST NIL	Tom sta bene .
PROPN AUX ADJ ADP NOUN PUNCT	PER NOW IST REL CON NIL	Tom è allergico alla muffa .
PROPN NOUN AUX DET NOUN PUNCT	HAS ROL ENS DIS ROL NIL	Mia sorella è una receptionist .
PROPN AUX ADV VERB PUNCT	PER NOW INT IST NIL	Tom è piuttosto spaventato .
PRON AUX VERB ADP NOUN PUNCT	PRO NOW EXG REL CON NIL	Io sto contando in tedesco .
PRON VERB ADP NOUN PUNCT	PRO EPS DIS CON NIL	Io ordinai della pizza .
PROPN VERB DET ADJ NOUN PUNCT	PER EPS DIS IST CON NIL	Tom fece un grande lavoro .
PRON AUX VERB PUNCT	NOT ENS EXS NIL	Nessuno vuole morire .
DET PUNCT NOUN VERB ADP NUM PUNCT	DST CON EFS REL CLO NIL	Quell' aereo decollerà alle cinque .
PROPN AUX VERB ADP PROPN PUNCT	PER NOW EXG REL PER NIL	Tom sta aspettando con Mary .
PROPN AUX VERB PUNCT	PER NOW EXG NIL	Tom sta sonnecchiando .
PROPN AUX AUX VERB PUNCT	PER NOW PFT EXS NIL	Tom è stato arrestato .
AUX VERB PUNCT	NOW IST NIL	Sono sveglio .
PRON VERB PUNCT	NOT EPS NIL	Nessuno mentì .
DET ADJ NOUN AUX VERB PUNCT	DEF ALT ROL NOW EXT NIL	Gli altri studenti hanno riso .
PRON PUNCT NOUN AUX ADV ADJ PUNCT	DEF CON NOW INT DEG NIL	L' affitto è molto alto .
DET NOUN VERB DET NOUN PUNCT	QUV GPO EPS DEF CON NIL	Molti americani gradirono il piano .
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXG DEF CON NIL	Tom sta pulendo il pavimento .
PRON AUX DET NOUN PUNCT NOUN PUNCT	PRO EPS DIS IST CON NIL	Lui era un bell' uomo .
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXT DEF CON NIL	Tom ha pagato il conto .
PROPN AUX ADJ ADP PROPN PUNCT	PER NOW IST REL PER NIL	Tom è preoccupato per Mary .
PROPN ADV AUX ADV ADJ PUNCT	PER NOT NOW INT IST NIL	Tom non è molto entusiasta .
AUX VERB DET NOUN ADJ PUNCT	PRO EPS DIS CON IST NIL	Abbiamo scoperto un passaggio segreto .
NOUN VERB DET NOUN ADJ PUNCT	PER ENS DIS CON GPO NIL	Romano~Prodi vince le primarie italiane .
AUX AUX VERB ADP DET ADJ NOUN PUNCT	NOW PFT EXS REL DIS DEG ROL NIL	Sono stato invitato da una vecchia amica .
PRON AUX ADJ ADP NOUN PUNCT	PRO NOW IST REL CON NIL	Io sono allergico al polline .
PROPN AUX ADJ ADP NOUN PUNCT	PER NOW IST REL CON NIL	Tom è allergico ai gatti .
PRON ADV AUX ADJ PUNCT ADJ PUNCT	PRO NOT NOW IST NIL QUE QUE	Lei non è giovane , vero ?
PRON ADV PRON VERB PUNCT	PRO NOT REF ENS NIL	Io non mi odio .
DET NOUN AUX VERB DET NOUN PUNCT	DEF CON NOW EXG DEF CON NIL	La nave sta scaricando le casse .
DET NOUN VERB PUNCT	DEF CON ENS NIL	Il gallo canta .
PROPN AUX VERB PUNCT	PER NOW IST NIL	Tom è matto .
PROPN AUX DET ADJ NOUN PUNCT	PER ENS DIS PST ROL NIL	Walt è un ex soldato .
PROPN AUX ADV ADJ ADP PROPN PUNCT	PER NOW MOR IST REL PER NIL	Paul è più vigoroso di Marc .
PROPN AUX ADJ PUNCT	PER NOW IST NIL	Tom è inutile .
PROPN AUX VERB NUM NOUN ADV PUNCT	PER NOW EXT QUC UOM PST NIL	Tom è partito tre giorni fa .
PROPN VERB ADP NOUN ADJ PUNCT	PER EPS DIS CON IST NIL	Tom mangiò delle lasagne vegane .
PROPN VERB ADV DET NOUN PUNCT	PER ENS ALT DEF CON NIL	Tom suona anche la chitarra .
PRON PUNCT PROPN VERB ADP DET PROPN PUNCT	DEF GPE ENS REL DEF GPE NIL	L' Illinois confina con il Missouri .
DET PROPN VERB DET PROPN PUNCT	DEF ORG EPS DEF ORG NIL	Il Canada batté gli USA .
ADV PRON VERB ADV PUNCT	ALT PRO NOW IST NIL	Anche io sto bene .
PRON AUX VERB PROPN PUNCT	QUE NOW EXT PER QUE	Chi ha accoltellato monica~Seles ?
PRON AUX VERB DET NOUN ADJ PUNCT	PRO NOW EXT DIS CON IST NIL	Lui ha sposato una ragazza ricca .
PROPN VERB DET PROPN PUNCT	PER EPS DEF CON NIL	Tom spense la TV .
PROPN VERB ADP PROPN PUNCT	PER ENS DEF GPE NIL	Mary vive al Cairo .
PROPN VERB PUNCT	PER ENS NIL	Tom esagera .
ADP PRON VERB DET NOUN PUNCT	REL PRO ENS AND CON NIL	A me piacciono i cavalli .
DET NOUN AUX VERB PUNCT	DEF CON NOW EXG NIL	Le mosche stanno ronzando .
PROPN VERB PROPN PUNCT	PER ENS PER NIL	Tom detesta Mary .
DET NOUN PROPN PUNCT	DEF CON ENS NIL	La pecora bela .
PROPN AUX DET NOUN ADJ PUNCT	PER ENS DIS ROL IST NIL	Tom è un tiratore competente .
PROPN AUX DET ADJ NOUN PUNCT	PER ENS DIS IST ROL NIL	Tom è un eccellente fisico .
NUM ADV NUM VERB NUM PUNCT	QUC CON QUC EXS QUC NIL	Quattro più diciotto fa ventidue .
PRON VERB ADP DET NOUN PUNCT	PRO EPS REL DEF CON NIL	Lei vagava per la campagna .
DET NOUN AUX ADJ ADP PROPN PUNCT	DEF CON NOW IST REL GPE NIL	La prostituzione è legale in Germania .
PROPN VERB ADP PROPN PUNCT ADP PROPN PUNCT	PER ENS REL GPE NIL REL GPE NIL	Dan vive a Boston , in Massachusetts .
DET PROPN PUNCT PROPN VERB NUM NOUN PUNCT	DEF CON ENS QUC UOM NIL	La T-shirt costa dieci euro .
DET NOUN AUX VERB PUNCT	DEF CON NOW IST NIL	La porta è socchiusa .
DET NOUN AUX VERB PUNCT	DEF CON NOW EXG NIL	Il vento sta ululando .
PRON PUNCT PROPN VERB DET PROPN PUNCT	DEF ORG EPS DEF ORG NIL	L' Italia batté il Kazakhstan .
PROPN AUX VERB ADP PROPN PUNCT	PER PST EXS REL GPE NIL	Vladislav~Listyev fu ucciso a Mosca .
PROPN AUX ADV ADJ ADP PROPN PUNCT	GPE NOW MOR IST REL GPE NIL	Tokyo è più grande di Roma .
PRON ADV AUX VERB PUNCT	PRO NOT NOW EXG NIL	Lui non sta correndo .
PRON VERB DET NOUN PUNCT	NOT ENS DEF CON NIL	Nessuno ama la guerra .
PRON VERB PUNCT	NOT ENS NIL	Nessuno ascolta .
PRON ADP NOUN AUX ADJ PUNCT	NOT DEF CON NOW IST NIL	Nessuno dei libri è istruttivo .
