literals	tokens
Vladislav Listyev a été assassiné à Moscou.	Vladislav Listyev a été assassiné à Moscou .
Ma soeur est célèbre.	Ma soeur est célèbre .
La porte est fermée.	La porte est fermée .
La viande est congelée.	La viande est congelée .
Saddam Hussein fuit aux États-Unis.	Saddam Hussein fuit aux  États -Unis .
Auckland est une ville de Nouvelle-Zélande.	Auckland est une ville de  Nouvelle -Zélande .
Mon père est grand.	Mon père est grand .
Aurore Paquiss est marié à Chabrol.	Aurore Paquiss est marié à Chabrol .
Henri Ford a fondé l'entreprise Ford.	Henri Ford a fondé  l' entreprise Ford .
La frontière est fermée.	La frontière est fermée .
Tom est mon cousin.	Tom est mon cousin .
Senecal habite le Manoir Cortland.	Senecal habite le Manoir Cortland .
Picasso est un artiste célèbre.	Picasso est un artiste célèbre .
Le vent souffle.	Le vent souffle .
Sumatra est une île.	Sumatra est une île .
Deux plus deux égale quatre.	Deux plus deux égale quatre .
Marilyn Monroe est morte il y a 33 ans.	Marilyn Monroe est morte il_y_a  33 ans .
Beaucoup de gens admire Nikklo.	Beaucoup de gens admire Nikklo .
Sandra Goudie a perdu contre Max Purnell.	Sandra Goudie a perdu contre Max Purnell .
Le chat est sous la table.	Le chat est sous la table .
Les inondations ravagent l'Europe.	Les inondations ravagent  l' Europe .
Edison a inventé le Kinétoscope.	Edison a inventé le Kinétoscope .
Mon chien est blanc.	Mon chien est blanc .
Leloir est né en Argentine.	Leloir est né en Argentine .
El-Nashar a été arrêté en Egypte.	El -Nashar a été arrêté en Egypte .
Sylvia Costas est la femme d'Andy Sipowicz.	Sylvia Costas est la femme  d' Andy Sipowicz .
PM a acheté trois usines russes.	PM a acheté trois usines russes .
Le chien a mordu l'homme.	Le chien a mordu  l' homme .
Tu es saoul !	Tu es saoul !
Accardo a composé 24 Caprices.	Accardo a composé 24 Caprices .
La fille est seule.	La fille est seule .
Pourquoi Jane est-elle allée à la gare ? 	Pourquoi Jane  est -elle allée à la gare ?
Texas Instruments produit des téléphones portables.	Texas Instruments produit des téléphones portables .
C'est un scientifique.	C' est un scientifique .
Ce drapeau est très joli.	Ce drapeau est très joli .
Les blessés ont été transportés en ambulance.	Les blessés ont été transportés en ambulance .
Tom a une voiture.	Tom a une voiture .
Le film 'speed' a été réalisé par Jan De Bont.	Le film 'speed' a été réalisé par Jan De Bont .
Le groupe de rock Spock's Beard vient du Japon.	Le groupe de rock  Spock' s Beard vient du Japon .
Le film 'speed' a été réalisé par Jan De Bont.	Le film 'speed' a été réalisé par Jan De Bont .
Une éponge absorbe l'eau.	Une éponge absorbe  l' eau .
L'eau n'est pas potable.	L' eau  n' est pas potable .
Personne n'est parfait.	Personne  n' est parfait .
Tout le monde s'est moqué de lui.	Tout le monde  s' est moqué de lui .
J'ai 18 ans.	J' ai 18 ans .
Tout le monde a ri.	Tout le monde a ri .
GUS a vendu Wehkamp.	GUS a vendu Wehkamp .
André Henri Constant van Hasselt a fait ces études à Maastricht.	André Henri Constant van Hasselt a fait ces études à Maastricht .
Wolfgang Amadeus Mozart est né à Salzbourg.	Wolfgang Amadeus Mozart est né à Salzbourg .
Il faudrait repasser cette chemise.	Il faudrait repasser cette chemise .
Le thé coûte deux euros.	Le thé coûte deux euros .
Ibrahim Sofu a été assassiné par Metin Kaplan.	Ibrahim Sofu a été assassiné par Metin Kaplan .
Le garçon parle à son grand-père.	Le garçon parle à son  grand -père .
Le Kanchenjunga fait 8586 mètres de haut.	Le Kanchenjunga fait 8586 mètres de haut .
Le policier porte un masque à gaz.	Le policier porte un masque à gaz .
O.J. Simpson a été accusé de meurtre.	O.J. Simpson a été accusé de meurtre .
Betty est une tueuse en série.	Betty est une tueuse en série .
Je comprends.	Je comprends .
Jerry Reinsdorf a remporté 7 championnats.	Jerry Reinsdorf a remporté 7 championnats .
La porte n'était pas fermée.	La porte  n' était pas fermée .
Spartan Air Lines a racheté United Airways.	Spartan Air Lines a racheté United Airways .
Vladislav Listyev a été tué à Moscou.	Vladislav Listyev a été tué à Moscou .
Le docteur a examiné les patients.	Le docteur a examiné les patients .
Un éléphant a un long nez.	Un éléphant a un long nez .
L'argent est sur la table.	L' argent est sur la table .
Un dollar vaut cent cents.	Un dollar vaut cent cents .
Bervely travaillait pour WEDCOR.	Bervely travaillait pour WEDCOR.
Ma femme a une pneumonie.	Ma femme a une pneumonie .
Nikos Kourkoulos était un acteur grec.	Nikos Kourkoulos était un acteur grec .
Klaus Pohl est un dramaturge allemand.	Klaus Pohl est un dramaturge allemand .
Ken est content.	Ken est content .
J'ai soif.	J' ai soif .
Mary a giflé Tom.	Mary a giflé Tom .
J'ai mangé du caviar.	J' ai mangé du caviar .
Il neige.	Il neige .
L'oiseau vole.	L' oiseau vole .
Louis Riel a assassiné Scott.	Louis Riel a assassiné Scott .
Ce seau fuit.	Ce seau fuit .
Le pape Jean-Paul II est né en Pologne.	Le pape  Jean -Paul II est né en Pologne .
Je suis boulanger.	Je suis boulanger .
La reine Elizabeth I est morte en 1603.	La reine Elizabeth I est morte en 1603.
Marlowe a été arrêté par les autorités italiennes.	Marlowe a été arrêté par les autorités italiennes .
Gianni Versace est un styliste.	Gianni Versace est un styliste .
Personne ne me comprend.	Personne ne me comprend .
Reinventing Comics est un livre de Scott McCloud.	Reinventing Comics est un livre de Scott McCloud .
Johann Wolfgang von Goethe est né en Allemagne.	Johann Wolfgang von Goethe est né en Allemagne .
Le chirurgien a amputé la mauvaise jambe.	Le chirurgien a amputé la mauvaise jambe .
Le vin était excellent.	Le vin était excellent .
Ma mère est belle.	Ma mère est belle .
Nous comprenons.	Nous comprenons .
Manchester United a battu Fulham.	Manchester United a battu Fulham .
L'école commence à 8h30.	L' école commence à 8h30.
Je m'appelle Antonio.	Je  m' appelle Antonio .
Un docteur a examiné M. Brown.	Un docteur a examiné M. Brown .
Tom est fort.	Tom est fort .
BSN a acheté RJR Nabisco.	BSN a acheté RJR Nabisco .
Il a bu une bière.	Il a bu une bière .
La tarte est délicieuse.	La tarte est délicieuse .
Qin Shi Huang était le premier empereur de Chine.	Qin Shi Huang était le premier empereur de Chine .
M. Zhao est mort à Pékin.	M. Zhao est mort à Pékin .
Gabriel Garcia Marquez est un écrivain.	Gabriel Garcia Marquez est un écrivain .
Nancy Ianiero a été tuée à Mexico.	Nancy Ianiero a été tuée à Mexico .
Verdens Gang est un journal norvégien.	Verdens Gang est un journal norvégien .
Qui a inventé la radio ?	Qui a inventé la radio ?
Nelson Beavers a travaillé pour Eurofins.	Nelson Beavers a travaillé pour Eurofins .
Il a été attaqué par un requin.	Il a été attaqué par un requin .
Les chats attrapent des souris.	Les chats attrapent des souris .
Un dauphin est un mammifère.	Un dauphin est un mammifère .
Elle est heureuse.	Elle est heureuse .
John a hérité d'une grosse fortune.	John a hérité  d' une grosse fortune .
Stephen Hawking est un physicien.	Stephen Hawking est un physicien .
John est bon en mathématiques.	John est bon en mathématiques .
C'est mon ami.	C' est mon ami .
Il faisait chaud dans la pièce.	Il faisait chaud dans la pièce .
