ID	literal	sm	md	are_similar
25/0713	Les inondations ravagent l'Europe.	Les inondations ravagent l' Europe .	Les inondations ravagent l' Europe .	1
25/0760	Edison a inventé le Kinétoscope.	Edison a inventé le Kinétoscope .	Edison a inventé le Kinétoscope .	1
26/0815	Mon chien est blanc.	Mon chien est blanc .	Mon chien est blanc .	1
27/0712	Leloir est né en Argentine.	Leloir est né en Argentine .	Leloir est né en Argentine .	1
27/0760	El-Nashar a été arrêté en Egypte.	El - Nashar a été arrêté en Egypte .	El - Nashar a été arrêté en Egypte .	1
27/0761	Sylvia Costas est la femme d'Andy Sipowicz.	Sylvia Costas est la femme d' Andy Sipowicz .	Sylvia Costas est la femme d' Andy Sipowicz .	1
27/0766	PM a acheté trois usines russes.	PM a acheté trois usines russes .	PM a acheté trois usines russes .	1
27/1900	Le chien a mordu l'homme.	Le chien a mordu l' homme .	Le chien a mordu l' homme .	1
28/2828	Tu es saoul !	Tu es saoul   !	Tu es saoul   !	1
29/0711	Accardo a composé 24 Caprices.	Accardo a composé 24 Caprices .	Accardo a composé 24 Caprices .	1
29/2716	La fille est seule.	La fille est seule .	La fille est seule .	1
29/2910	Pourquoi Jane est-elle allée à la gare ? 	Pourquoi Jane est-elle allée à la gare ?	Pourquoi Jane est-elle allée à la gare ?	1
30/0761	Texas Instruments produit des téléphones portables.	Texas Instruments produit des téléphones portables .	Texas Instruments produit des téléphones portables .	1
30/0839	C'est un scientifique.	C' est un scientifique .	C' est un scientifique .	1
30/0889	Ce drapeau est très joli.	Ce drapeau est très joli .	Ce drapeau est très joli .	1
30/0895	Les blessés ont été transportés en ambulance.	Les blessés ont été transportés en ambulance .	Les blessés ont été transportés en ambulance .	1
32/0930	Tom a une voiture.	Tom a une voiture .	Tom a une voiture .	1
33/0764	Le film 'speed' a été réalisé par Jan De Bont.	Le film ' speed ' a été réalisé par Jan De Bont .	Le film ' speed ' a été réalisé par Jan De Bont .	1
34/0711	Le groupe de rock Spock's Beard vient du Japon.	Le groupe de rock Spock' s Beard vient du Japon .	Le groupe de rock Spock' s Beard vient du Japon .	1
34/0764	Le film 'speed' a été réalisé par Jan De Bont.	Le film ' speed ' a été réalisé par Jan De Bont .	Le film ' speed ' a été réalisé par Jan De Bont .	1
34/0794	Une éponge absorbe l'eau.	Une éponge absorbe l' eau .	Une éponge absorbe l' eau .	1
34/0879	L'eau n'est pas potable.	L' eau n' est pas potable .	L' eau n' est pas potable .	1
35/0856	Personne n'est parfait.	Personne n' est parfait .	Personne n' est parfait .	1
35/0875	Tout le monde s'est moqué de lui.	Tout le monde s' est moqué de lui .	Tout le monde s' est moqué de lui .	1
36/1882	J'ai 18 ans.	J' ai 18 ans .	J' ai 18 ans .	1
37/0776	Tout le monde a ri.	Tout le monde a ri .	Tout le monde a ri .	1
39/0760	GUS a vendu Wehkamp.	GUS a vendu Wehkamp .	GUS a vendu Wehkamp .	1
42/0712	André Henri Constant van Hasselt a fait ces études à Maastricht.	André Henri Constant van Hasselt a fait ces études à Maastricht .	André Henri Constant van Hasselt a fait ces études à Maastricht .	1
42/0765	Wolfgang Amadeus Mozart est né à Salzbourg.	Wolfgang Amadeus Mozart est né à Salzbourg .	Wolfgang Amadeus Mozart est né à Salzbourg .	1
42/2000	Il faudrait repasser cette chemise.	Il faudrait repasser cette chemise .	Il faudrait repasser cette chemise .	1
45/0867	Le thé coûte deux euros.	Le thé coûte deux euros .	Le thé coûte deux euros .	1
46/0712	Ibrahim Sofu a été assassiné par Metin Kaplan.	Ibrahim Sofu a été assassiné par Metin Kaplan .	Ibrahim Sofu a été assassiné par Metin Kaplan .	1
46/2924	Le garçon parle à son grand-père.	Le garçon parle à son grand-père .	Le garçon parle à son grand-père .	1
49/0765	Le Kanchenjunga fait 8586 mètres de haut.	Le Kanchenjunga fait 8586 mètres de haut .	Le Kanchenjunga fait 8586 mètres de haut .	1
51/0914	Le policier porte un masque à gaz.	Le policier porte un masque à gaz .	Le policier porte un masque à gaz .	1
54/0716	O.J. Simpson a été accusé de meurtre.	O.J. Simpson a été accusé de meurtre .	O.J. Simpson a été accusé de meurtre .	1
54/0864	Betty est une tueuse en série.	Betty est une tueuse en série .	Betty est une tueuse en série .	1
56/0912	Je comprends.	Je comprends .	Je comprends .	1
57/0760	Jerry Reinsdorf a remporté 7 championnats.	Jerry Reinsdorf a remporté 7 championnats .	Jerry Reinsdorf a remporté 7 championnats .	1
59/0888	La porte n'était pas fermée.	La porte n' était pas fermée .	La porte n' était pas fermée .	1
61/0711	Spartan Air Lines a racheté United Airways.	Spartan Air Lines a racheté United Airways .	Spartan Air Lines a racheté United Airways .	1
61/0764	Vladislav Listyev a été tué à Moscou.	Vladislav Listyev a été tué à Moscou .	Vladislav Listyev a été tué à Moscou .	1
61/0780	Le docteur a examiné les patients.	Le docteur a examiné les patients .	Le docteur a examiné les patients .	1
61/0826	Un éléphant a un long nez.	Un éléphant a un long nez .	Un éléphant a un long nez .	1
61/0863	L'argent est sur la table.	L' argent est sur la table .	L' argent est sur la table .	1
63/2262	Un dollar vaut cent cents.	Un dollar vaut cent cents .	Un dollar vaut cent cents .	1
64/0712	Bervely travaillait pour WEDCOR.	Bervely travaillait pour WEDCOR .	Bervely travaillait pour WEDCOR .	1
65/0811	Ma femme a une pneumonie.	Ma femme a une pneumonie .	Ma femme a une pneumonie .	1
66/0715	Nikos Kourkoulos était un acteur grec.	Nikos Kourkoulos était un acteur grec .	Nikos Kourkoulos était un acteur grec .	1
66/0764	Klaus Pohl est un dramaturge allemand.	Klaus Pohl est un dramaturge allemand .	Klaus Pohl est un dramaturge allemand .	1
66/2406	Ken est content.	Ken est content .	Ken est content .	1
67/0768	J'ai soif.	J' ai soif .	J' ai soif .	1
67/0917	Mary a giflé Tom.	Mary a giflé Tom .	Mary a giflé Tom .	1
68/0769	J'ai mangé du caviar.	J' ai mangé du caviar .	J' ai mangé du caviar .	1
69/0867	Il neige.	Il neige .	Il neige .	1
72/0945	L'oiseau vole.	L' oiseau vole .	L' oiseau vole .	1
73/0760	Louis Riel a assassiné Scott.	Louis Riel a assassiné Scott .	Louis Riel a assassiné Scott .	1
73/2412	Ce seau fuit.	Ce seau fuit .	Ce seau fuit .	1
75/0716	Le pape Jean-Paul II est né en Pologne.	Le pape Jean-Paul II est né en Pologne .	Le pape Jean-Paul II est né en Pologne .	1
75/0818	Je suis boulanger.	Je suis boulanger .	Je suis boulanger .	1
75/0910	La reine Elizabeth I est morte en 1603.	La reine Elizabeth I est morte en 1603 .	La reine Elizabeth I est morte en 1603 .	1
79/0760	Marlowe a été arrêté par les autorités italiennes.	Marlowe a été arrêté par les autorités italiennes .	Marlowe a été arrêté par les autorités italiennes .	1
79/0763	Gianni Versace est un styliste.	Gianni Versace est un styliste .	Gianni Versace est un styliste .	1
79/0767	Personne ne me comprend.	Personne ne me comprend .	Personne ne me comprend .	1
81/0711	Reinventing Comics est un livre de Scott McCloud.	Reinventing Comics est un livre de Scott McCloud .	Reinventing Comics est un livre de Scott McCloud .	1
82/0716	Johann Wolfgang von Goethe est né en Allemagne.	Johann Wolfgang von Goethe est né en Allemagne .	Johann Wolfgang von Goethe est né en Allemagne .	1
82/1991	Le chirurgien a amputé la mauvaise jambe.	Le chirurgien a amputé la mauvaise jambe .	Le chirurgien a amputé la mauvaise jambe .	1
82/2388	Le vin était excellent.	Le vin était excellent .	Le vin était excellent .	1
83/0814	Ma mère est belle.	Ma mère est belle .	Ma mère est belle .	1
83/2406	Nous comprenons.	Nous comprenons .	Nous comprenons .	1
85/0712	Manchester United a battu Fulham.	Manchester United a battu Fulham .	Manchester United a battu Fulham .	1
85/0825	L'école commence à 8h30.	L' école commence à 8h30 .	L' école commence à 8h30 .	1
85/0889	Je m'appelle Antonio.	Je m' appelle Antonio .	Je m' appelle Antonio .	1
85/0893	Un docteur a examiné M. Brown.	Un docteur a examiné M. Brown .	Un docteur a examiné M. Brown .	1
85/0940	Tom est fort.	Tom est fort .	Tom est fort .	1
86/0717	BSN a acheté RJR Nabisco.	BSN a acheté RJR Nabisco .	BSN a acheté RJR Nabisco .	1
86/0915	Il a bu une bière.	Il a bu une bière .	Il a bu une bière .	1
86/2287	La tarte est délicieuse.	La tarte est délicieuse .	La tarte est délicieuse .	1
87/0715	Qin Shi Huang était le premier empereur de Chine.	Qin Shi Huang était le premier empereur de Chine .	Qin Shi Huang était le premier empereur de Chine .	1
87/0760	M. Zhao est mort à Pékin.	M. Zhao est mort à Pékin .	M. Zhao est mort à Pékin .	1
87/0763	Gabriel Garcia Marquez est un écrivain.	Gabriel Garcia Marquez est un écrivain .	Gabriel Garcia Marquez est un écrivain .	1
92/0712	Nancy Ianiero a été tuée à Mexico.	Nancy Ianiero a été tuée à Mexico .	Nancy Ianiero a été tuée à Mexico .	1
92/0764	Verdens Gang est un journal norvégien.	Verdens Gang est un journal norvégien .	Verdens Gang est un journal norvégien .	1
93/1391	Qui a inventé la radio ?	Qui a inventé la radio ?	Qui a inventé la radio ?	1
94/0760	Nelson Beavers a travaillé pour Eurofins.	Nelson Beavers a travaillé pour Eurofins .	Nelson Beavers a travaillé pour Eurofins .	1
94/0906	Il a été attaqué par un requin.	Il a été attaqué par un requin .	Il a été attaqué par un requin .	1
96/0785	Les chats attrapent des souris.	Les chats attrapent des souris .	Les chats attrapent des souris .	1
96/0802	Un dauphin est un mammifère.	Un dauphin est un mammifère .	Un dauphin est un mammifère .	1
96/1684	Elle est heureuse.	Elle est heureuse .	Elle est heureuse .	1
98/0794	John a hérité d'une grosse fortune.	John a hérité d' une grosse fortune .	John a hérité d' une grosse fortune .	1
99/0716	Stephen Hawking est un physicien.	Stephen Hawking est un physicien .	Stephen Hawking est un physicien .	1
99/0794	John est bon en mathématiques.	John est bon en mathématiques .	John est bon en mathématiques .	1
99/0879	C'est mon ami.	C' est mon ami .	C' est mon ami .	1
99/0911	Il faisait chaud dans la pièce.	Il faisait chaud dans la pièce .	Il faisait chaud dans la pièce .	1
