pos	sem	tok
PRON VERB PRON PART PUNCT	PRO ENS NIL NOT NIL	Ich schäme mich nicht .
PRON VERB ADV NOUN PUNCT	PRO EPS NOW CON NIL	Ich hatte heute Nasenbluten .
DET ADJ NOUN VERB ADP DET NOUN PUNCT	DEF IST CON ENS REL HAS CON NIL	Das kleine Mädchen nuckelt an seinem Finger .
DET NOUN VERB NUM NOUN PUNCT	PRX CON ENS QUC UOM NIL	Diese CD kostet 10 Dollar .
PRON VERB ADP DET NOUN PUNCT	PRO ENS REL DEF CON NIL	Wir klettern auf die Palme .
DET NOUN VERB ADP NOUN PUNCT	QUV CON ENS DEF CON NIL	Einige Kinder spielen im Sand .
DET NOUN VERB ADP DET NOUN PUNCT	DEF CON ENS REL DEF CON NIL	Die Wolken hängen in der Luft .
PRON VERB PRON ADV ADV PUNCT	PRO EPS PRO NOT ALT NIL	Ich sah sie nie wieder .
PRON AUX DET NOUN ADP NOUN VERB PUNCT	PRO NOW HAS CON DEF CON EXT NIL	Ich habe dein Buch im Auto gelassen .
DET NOUN AUX VERB PUNCT	DEF CON PST EXS NIL	Das Hotel wurde niedergebrannt .
PRON AUX DET NOUN VERB PUNCT	NOT POS PRX CON EXS NIL	Niemand kann dieses Problem lösen .
PRON VERB PROPN PUNCT	PRO ENS CON NIL	Er spielt Golf .
PRON AUX ADV PUNCT	PRO NOW DEG NIL	Er ist alt .
ADV VERB PRON ADP PROPN PUNCT	FUT EFS PRO REL GPE NIL	Morgen fahre ich nach Paris .
PRON AUX ADP PRON VERB PUNCT	PRO NOW REL PRO IST NIL	Sie ist in ihn verliebt .
NOUN PUNCT	CON NIL	Logistik .
PROPN AUX DET ADJ NOUN PUNCT	PER ENS DIS IST ROL NIL	Tom ist ein aggressiver Autofahrer .
PROPN VERB PRON PUNCT	PER ENS PRO NIL	Tom stalkt mich .
PROPN AUX VERB PUNCT	PER NOW EXT NIL	Tom hat geklatscht .
PRON ADV PUNCT	PRO ENS NIL	Er isst .
PROPN AUX DET NOUN VERB PUNCT	PER NOW HAS CON EXT NIL	Tracy hat ihre Brille verloren .
PRON VERB ADV DET NOUN PUNCT	PRO ENS EMP NOT CON NIL	Ich trinke überhaupt keinen Kaffee .
PRON VERB ADP DET NOUN PUNCT	PRO ENS REL DEF CON NIL	Er liegt auf der Bank .
PROPN PROPN PART PUNCT	PER ENS NOT NIL	Tom schläft nicht .
PRON VERB PRON NUM NOUN PUNCT	PRO ENS PRO QUC UOM NIL	Ihr schuldet mir 1.000 $ .
PROPN AUX ADV VERB PUNCT	PER NOW CON EXT NIL	Tom hat bar bezahlt .
PRON VERB PROPN PUNCT NOUN CCONJ NOUN PUNCT	PRO ENS CON REL CON GRP CON NIL	Ich spreche Japanisch , Englisch und Französisch .
PROPN VERB DET NOUN PUNCT	PER ENS DIS CON NIL	Tom bäckt eine Pizza .
DET NOUN VERB PUNCT	HAS CON ENS NIL	Sein Zeh blutet .
PROPN VERB ADV ADP PROPN PUNCT	PER ENS NOW REL PER NIL	Tom sucht jetzt nach Mary .
PRON AUX DET NOUN VERB PUNCT	QUE NOW DEF CON EXT QUE	Was hat die Brille gekostet ?
PROPN VERB PRON DET NOUN ADP PROPN PUNCT	PER EPS PRO DIS CON REL PER NIL	Tom zeigte uns ein Bild von Maria .
DET NOUN VERB ADP DET NOUN ADP PUNCT	DEF CON EPS REL DEF CON REL NIL	Der Hund kaute auf dem Ball herum .
PROPN AUX NUM NOUN VERB PUNCT	PER NOW QUC UOM EXT NIL	Tom hat dreizehn Pfund zugenommen .
PROPN AUX ADV ADV PUNCT	PER NOW INT IST NIL	Tom ist ziemlich schwächlich .
PRON AUX PRON VERB PUNCT	NOT NOW DIS EXT NIL	Niemand hat etwas gesehen .
PRON VERB DET ADJ NOUN PUNCT	PRO ENS DIS DEG CON NIL	Sie hat einen großen Arsch .
PROPN VERB DET NOUN ADP PUNCT	PER EPS DEF CON REL NIL	Tom hob die Katze auf .
PRON AUX ADV SCONJ PRON PUNCT	PRO NOW MOR REL PRO NIL	Sie sind tapferer als ich .
PRON VERB DET NOUN ADP DET NOUN PUNCT	PRO ENS HAS CON REL DIS CON NIL	Ich putze meine Zähne mit einer Zahnbürste .
PRON VERB DET NOUN ADP DET NOUN PUNCT	PRO EPS DEF CON REL DEF CON NIL	Sie hing die Wäsche auf die Leine .
PRON AUX DET NOUN PUNCT	PRO ENS DIS CON NIL	Ich will einen Hundewelpen .
DET NOUN VERB NOUN PUNCT	DEF CON EPS CON NIL	Der Vogel suchte Würmer .
PRON VERB DET ADJ NOUN PUNCT	PRO ENS DIS GPO CON NIL	Ich rauche eine kubanische Zigarre .
PRON VERB ADP ADJ NOUN PUNCT	PRO ENS REL IST CON NIL	Ich leide an chronischer Verstopfung .
PRON AUX PRON VERB PUNCT	PRO NOW PRO EXT NIL	Ich habe ihn entlassen .
PRON VERB ADV PRON ADV PUNCT	PRO FUT ALT AND EXS EMP	Du machst noch alles zunichte !
PROPN VERB PROPN ADP NOUN PUNCT	PER EPS PER DEF CON NIL	Tom fuhr Maria zum Krankenhaus .
PRON VERB ADP NOUN PUNCT	PRO ENS DEF CON NIL	Ich geh ins Kino .
PRON VERB ADP ADJ NOUN PUNCT	PRO EPS REL IST CON NIL	Sie träumte von wilden Jaguaren .
PRON AUX DET NOUN VERB PUNCT	PRO FUT DIS CON EXS NIL	Ich werde ein Buch lesen .
PRON VERB ADV DET NOUN PUNCT	PRO ENS ALT NOT CON NIL	Er spricht auch kein Englisch .
DET NOUN AUX VERB PUNCT	HAS CON NOW EXT NIL	Mein Pass ist abgelaufen .
DET NOUN AUX NUM NOUN ADV PUNCT	DEF CON NOW QUC UOM DEG NIL	Der Fluss ist fünf Fuß tief .
PRON VERB PRON PUNCT	NOT ENS PRX NIL	Niemand weiß das .
PROPN VERB DET ADJ NOUN ADP ADJ NOUN PUNCT	PER EPS DIS COL CON REL IST CON NIL	Maria trug eine rosa Bluse mit passendem Minirock .
DET NOUN AUX ADV PUNCT	DEF CON NOW EXT NIL	Die Katze ist weggerannt .
ADP ADJ NOUN AUX NOUN PUNCT	MOR QUC GPO ENS ROL NIL	Über vier~Millionen Syrer sind Flüchtlinge .
PROPN VERB ADV ADP DET NOUN PUNCT	PER ENS NOW REL HAS CON NIL	Mary lernt jetzt in ihrem Zimmer .
PROPN AUX DET NOUN PUNCT	PER ENS DIS ROL NIL	Heinrich ist ein Zauberer .
PRON AUX DET ADJ NOUN PART VERB PUNCT	PRO POS HAS IST CON NOT EXS NIL	Ich kann den rechten Arm nicht heben .
PRON VERB ADV ADP PROPN PUNCT	PRO ENS NOW REL GPE NIL	Ich arbeite gerade in Tōkyō .
PROPN NOUN AUX PRON PUNCT	HAS CON ENS PRX QUE	Wessen Buch ist das ?
DET ADJ NOUN AUX ADV PUNCT	DEF COL CON NOW IST NIL	Der rote Rock ist neu .
PRON AUX DET NOUN VERB PUNCT	NOT NOW DEF CON EXT NIL	Keiner hat das Problem gelöst .
PRON VERB NOUN PUNCT	PRO EPS CON NIL	Sie pflückte Blumen .
PRON VERB DET NOUN PUNCT	PRO EPS HAS ROL NIL	Sie hasste ihren Mann .
PRON VERB DET NOUN PUNCT	PRO ENS DIS CON NIL	Ich esse einen Apfel .
DET NOUN AUX ADV ADV PUNCT	HAS ROL NOW INT IST NIL	Meine Freundin ist sehr eifersüchtig .
ADV PUNCT	CON NIL	usw .
PROPN	CTC	http://www.anl.siemens.de/solution/index_d.html
PRON VERB DET NOUN DET NOUN PUNCT	PRO EPS HAS CON DEF CON NIL	Sie widmete ihr Leben der Musik .
PROPN VERB ADP PROPN PUNCT	PER EPS REL PER NIL	Tom flirtete mit Mary .
AUX PRON ADP PRON VERB PUNCT	NOW DIS REL PRO EXT QUE	Hat jemand mit ihm gesprochen ?
PROPN VERB ADV PUNCT	PER ENS CON NIL	Emily hat Durst .
PRON AUX NOUN PUNCT	AND EPS PER NIL	Alle mochten Tom .
DET NOUN AUX DET ADJ NOUN PUNCT	AND CON EXS DIS COL CON NIL	Die Birke hat eine weiße Rinde .
ADP NOUN VERB NUM NOUN PUNCT	REL CON ENS QUC CON NIL	Am Himmel fliegen zwei Krähen .
PRON ADP PRON AUX DET NOUN VERB PUNCT	AND REL PRO NOW DIS CON EXT NIL	Jeder von ihnen hat ein Lied gesungen .
PRON AUX PART ADV ADV ADP PRON PUNCT	PRO NOW NOT EQU IST REL PRO NIL	Ich bin nicht so klug wie Sie .
PRON AUX ADV PART ADV PUNCT	PRO NOW EMP NOT IST NIL	Du bist überhaupt nicht romantisch .
PRON VERB ADV ADV PRON PUNCT	PRO ENS ALT ALT NOT NIL	Ich verstehe immer noch nichts .
DET NOUN VERB ADP DET NOUN ADP PUNCT	HAS CON EPS REL DEF CON REL NIL	Unser Heißluftballon stieg in den Himmel auf .
PRON VERB PRON PUNCT	PRO ENS PRO EMP	Du liebst ihn !
PRON AUX ADP PRON VERB PUNCT	PRO NOW REL PRO EXT NIL	Ich habe auf ihn aufgepasst .
DET NOUN VERB NUM NOUN PUNCT	PRX CON ENS QUC CON NIL	Diese Halle fasst 2.000 Personen .
PROPN VERB PROPN CCONJ PROPN VERB PUNCT	PER EPS CON AND PER EPS NIL	Dick spielte Klavier und Lucy sang .
DET NOUN AUX ADV ADV PUNCT	DEF CON NOW NOW IST NIL	Das Flugzeug ist jetzt einsatzfähig .
PRON VERB DET ADJ NOUN PUNCT	PRO ENS DIS IST CON NIL	Sie trägt einen schönen Hut .
PROPN ADJ DET NOUN PUNCT	PER EPS HAS ROL NIL	Tom küsste seine Cousine .
PROPN AUX DET NOUN PART VERB PUNCT	PER NOW DEF CON NOT EXT NIL	Kate hat das Zimmer nicht gereinigt .
DET NOUN AUX PART ADV PUNCT	HAS CON PST NOT IST NIL	Seine Meinung war nicht wichtig .
DET NOUN VERB PUNCT	DIS CON EPS NIL	Ein Boot kenterte .
PRON AUX ADV ADP NOUN PUNCT	PRO NOW MOR REL PER NIL	Ich bin größer als Tom .
PRON VERB ADP DET NOUN PUNCT	DIS EPS REL DEF CON NIL	Jemand klopfte an die Tür .
PRON AUX PRON ADP NOUN VERB PUNCT	PRO POS PRO REL CON EXS NIL	Ich kann das auf Englisch singen .
DET NOUN AUX PROPN PUNCT	DEF CON NOW IST NIL	Das Fleisch ist roh .
PRON VERB NUM NOUN ADP DET NOUN PUNCT	PRO EPS QUC UOM REL PRX CON NIL	Ich bezahlte 800 Yen für dieses Buch .
DET NOUN AUX ADV PUNCT	DEF CON NOW IST NIL	Der Hund ist schön .
PRON AUX PART ADV PUNCT	PRO NOW NOT IST NIL	Er ist nicht jung .
PRON AUX PRON PART VERB PUNCT	PRO POS PRO NOT EXS NIL	Ich kann dir nicht helfen .
PRON AUX ADV PUNCT	DST NOW IST NIL	Das ist enorm .
NOUN PROPN VERB DET NOUN ADP NOUN NUM PUNCT	ROL PER EPS DEF GPE REL MOY YOC NIL	Kapitän Scott erreichte die Scott-Insel im Dezember 1902 .
PROPN AUX PART ADV ADV ADP PROPN PUNCT	PER NOW NOT EQU IST REL PER NIL	Bill ist nicht so groß wie Bob .
PRON VERB ADP DET NOUN PUNCT	PRO ENS REL DEF CON NIL	Er arbeitet in jenem Labor .
PRON AUX PRON ADP DET NOUN VERB PUNCT	PRO NOW PRO REL DIS CON EXT NIL	Sie hat ihn mit einem Messer umgebracht .
DET NOUN VERB NUM NOUN PUNCT	DEF CON EPS QUC UOM NIL	Der Regen dauerte fünf Tage .
DET NOUN VERB PRON DET NOUN PUNCT	HAS ROL EPS PRO DIS CON NIL	Mein Onkel gab ihm ein Geschenk .
NOUN	PER	Liz~Mohn
DET NOUN	DEF CON	DIE VERWANDLUNG
PRON VERB NOUN PUNCT	PRO ENS CON NIL	Ich hasse Spinat .
PRON AUX NUM PUNCT	PRO NOW QUC NIL	Sie ist siebzehn .
PRON AUX ADV ADV PUNCT	PRO NOW INT IST NIL	Sie ist äußerst geduldig .
DET NOUN VERB ADV PUNCT	DEF CON EPS DIS NIL	Der Aktienmarkt brach ein .
PRON AUX NOUN PUNCT	PRO NOW CLO NIL	Es ist Mitternacht .
PRON AUX ADP DET NOUN VERB PUNCT	PRO NOW REL PRX CON IST NIL	Sie ist von diesem Roman gelangweilt .
PRON AUX ADV ADV PUNCT	PRO NOW INT IST NIL	Du bist sehr klug .
PART PRON AUX DET NOUN PUNCT	NOT AND ENS PRX CON NIL	Nicht jeder mag dieses Buch .
PRON VERB PUNCT	PRO EPS NIL	Es regnete .
PROPN AUX DET ADJ NOUN PUNCT CCONJ PUNCT	PER ENS NOT IST ROL NIL QUE QUE	Judy ist keine gute Sängerin , oder ?
PROPN VERB ADP PRON PUNCT	PER EPS REL PRO NIL	Tom tanzte mit mir .
PRON DET NOUN VERB PUNCT	DIS DEF CON ENS NIL	Einige der Hunde leben .
PRON ADV ADV DET NOUN PUNCT	PRO ENS NOW DIS CON NIL	Sie isst gerade eine Birne .
PROPN VERB DET NOUN ADP PUNCT	PER EPS DEF CON REL NIL	Dan schaltete die Musik aus .
PRON VERB DET NOUN ADP DET NOUN PUNCT	PRO EPS DEF CON REL HAS CON NIL	Sie drückte das Kind an ihr Herz .
DET NOUN VERB DET NOUN PUNCT	DEF ROL ENS DEF CON NIL	Die Arbeiter verbreitern die Straße .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DIS CON EXT NIL	Ich habe einen Unfall verursacht .
PROPN VERB PROPN ADP PUNCT	PER EPS PER REL NIL	Tom brüllte Mary an .
PRON VERB DET NOUN PUNCT	PRO ENS HAS CON NIL	Ich schärfe mein Schwert .
PRON AUX ADP DET ADJ NOUN VERB PUNCT	PRO NOW REL DEF IST CON EXT NIL	Er hat an die geschlossene Tür geklopft .
DET NOUN VERB ADP DET NOUN PUNCT	DEF CON EPS REL DEF CON NIL	Die Vögel sangen in den Wäldern .
DET NOUN VERB ADP DET NOUN PUNCT	DEF CON ENS REL DEF CON NIL	Die Fernbedienung liegt unter dem Sofa .
PROPN VERB ADP DET NOUN NOUN ADP PUNCT	PER ENS REL HAS CON CON REL NIL	Tom baut in seinem Garten Tomaten an .
PROPN VERB PROPN ADP PUNCT	PER EPS PER REL NIL	Tom winkte Maria zu .
DET ADJ NOUN VERB PUNCT	DIS QUC UOM EPS NIL	Eine halbe Stunde verging .
NOUN NUM VERB ADP NOUN ADP PUNCT	CON NTH EFS REL CLO REL NIL	Flug 226 hebt um 10.30~Uhr ab .
PROPN PROPN DET NOUN PUNCT	PER EPS DEF CON NIL	Tom zerriss den Brief .
PROPN PROPN PROPN PUNCT	PER EPS PER NIL	Tom erschoss Mary .
DET NOUN AUX ADV SCONJ PRON PUNCT	HAS ROL NOW MOR REL PRO NIL	Meine Schwester ist jünger als ich .
DET NOUN AUX ADP DET NOUN VERB PUNCT	DEF CON PST REL DEF CON EXT NIL	Das Lamm wurde von dem Wolf gerissen .
PRON VERB DET NOUN ADP PROPN PUNCT	PRO EPS DIS CON REL GPE NIL	Er schrieb ein Buch über China .
PRON AUX ADV VERB PUNCT	PRO PST INT EXS NIL	Er war übel verletzt .
PRON AUX PRON VERB PUNCT	PRO NOW NOT EXT NIL	Sie hat niemanden geheiratet .
DET NOUN VERB DET ADJ NOUN PUNCT	DEF CON EPS DIS DEG CON NIL	Die Heuschrecke machte einen großen Sprung .
PRON AUX NUM NOUN PUNCT	PRO ENS QUC CON NIL	Ich habe zwei Kater .
PROPN VERB NOUN PUNCT	PER ENS CON NIL	Tom hat Skorbut .
PROPN VERB DET NOUN PUNCT	PER ENS DIS CON NIL	Tom trägt einen Smoking .
PRON VERB DET NOUN ADP DET NOUN PUNCT	PRO EPS DIS CON REL DEF CON NIL	Ich nahm ein Buch aus dem Regal .
PROPN VERB PUNCT	PER ENS NIL	Tom betrügt .
DET NOUN AUX ADV PUNCT	PRX CON NOW DEG NIL	Dieser Hund ist groß .
PROPN VERB DET NOUN ADP PUNCT	PER EPS DEF CON REL NIL	Tom räumte das Wohnzimmer auf .
DET NOUN AUX ADV PUNCT	HAS CON PST COL NIL	Ihr Gesicht war rot .
PRON AUX ADV PUNCT	PRO NOW IST NIL	Du bist leichtlebig .
PRON VERB DET NOUN PUNCT	PRO EPS HAS ROL NIL	Er besiegte seinen Feind .
PRON ADP PRON AUX PRON PUNCT	NOT REL PRO ENS DST NIL	Keiner von uns will das .
ADP DET NOUN VERB PRON PUNCT	REL QUE CON ENS PRO QUE	Von welchem Planeten kommst du ?
DET NOUN VERB DET ADJ NOUN PUNCT	DEF CON EPS DEF DEG CON NIL	Das Feuer zerstörte das hohe Gebäude .
PROPN VERB ADP ADJ NOUN PUNCT	PER EPS REL DOM MOY NIL	Carl~Smith starb am achten August .
