pos	sem	tok
PRON AUX PRON NOUN ADV VERB PUNCT	PRO POS HAS CON NOT EXS NIL	Je mag mijn pen niet gebruiken .
DET NOUN ADP PRON NOUN AUX ADJ PUNCT	DEF CON REL HAS CON NOW COL NIL	Het dak van mijn huis is rood .
PRON VERB PRON ADP PRON PUNCT	PRO ENS NOT REL PRO NIL	Ik ken niemand van hen .
PRON AUX NUM X VERB ADP DET NOUN PUNCT	PRO NOW QUC UOM EXT REL PRX CON NIL	Hij heeft 1000 yen betaald voor dit boek .
PRON VERB DET NOUN ADP VERB PUNCT	PRO EPS DEF CON NIL EXS NIL	Ze vergat de brief te posten .
PROPN PROPN VERB PUNCT	ROL PER EPS NIL	Mr. Smith kwam .
PRON AUX NOUN ADP PRON NOUN PUNCT	PRO NOW EXS REL HAS CON NIL	Ik heb pijn aan mijn achterste .
PRON VERB DET NOUN PUNCT	PRO ENS DIS CON NIL	Ze draagt een zonnebril .
PRON VERB PROPN PUNCT	PRO ENS CON NIL	Hij leert Chinees .
PRON VERB NOUN PUNCT	PRO EPS CON NIL	Hij brouwde bier .
PRON VERB ADP DET ADJ NOUN PUNCT	PRO ENS REL DIS IST CON NIL	Ze lijdt aan een besmettelijke ziekte .
PRON AUX VERB ADP PROPN PUNCT	PRO NOW EXT REL GPE NIL	Ik ben geboren in Rusland .
PROPN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Tom knoeide de melk .
PROPN AUX PRON VERB PUNCT	PER NOW PRO EXT NIL	Betty heeft hem gedood .
ADV VERB ADV ADJ NOUN PUNCT	NIL ENS ALT GPO ROL NIL	Er zijn ook Franse touristen .
PRON AUX ADJ VERB PUNCT	PRO NOW INT IST NIL	Je bent erg sexy .
PRON AUX ADJ SCONJ PRON AUX VERB PUNCT	PRO NOW IST SUB PRO FUT EXS NIL	Ik ben zeker dat hij zal slagen .
PRON AUX DET NUM NOUN ADJ PUNCT	PRO NOW NOT QUC UOM DEG NIL	Ik ben geen dertig jaar oud .
DET PRON AUX ADJ ADJ PUNCT	DEF CON NOW INT DEG NIL	Het meer is heel diep .
PRON VERB ADP DET NOUN PUNCT	PRO ENS REL DEF CON NIL	Ik hou van de oceaan .
PRON AUX NOUN PUNCT	PRO NOW CLO NIL	Het is vijf~voor~vier .
PRON AUX DET NOUN ADJ NOUN PUNCT	PRO FUT DEF CON ALT EXS NIL	Ik zal de borden nog~eens afwassen .
PROPN AUX DET ADJ NOUN PUNCT	PER ENS NOT IST ROL NIL	Tom is geen slechte trainer .
DET NOUN VERB DET ADJ NOUN PUNCT	PRX CON ENS DIS IST CON NIL	Deze kaas heeft een scherpe smaak .
PROPN AUX DET NOUN ADP PRON PUNCT	PER ENS DIS ROL REL PRO NIL	Tom is een vriend van mij .
PRON AUX DET NOUN VERB PUNCT	NOT POS PRX CON EXS NIL	Niemand kan dit probleem oplossen .
PRON AUX ADJ PUNCT	PRO NOW DEG NIL	Hij is oud .
PRON NOUN VERB DET NOUN ADJ PUNCT	HAS ROL EPS DEF CON COL NIL	Mijn vader verfde de brievenbus rood .
PROPN PUNCT	GRE EMP	Hoi .
ADV VERB PRON ADP PROPN PUNCT	FUT EFS PRO REL GPE NIL	Morgen ga ik naar Parijs .
PRON VERB ADP PRON PUNCT	PRO ENS REL PRO NIL	Ze houdt van hem .
PRON VERB ADP NOUN ADP DET NOUN PUNCT	PRO EPS REL GPE REL DEF CON NIL	Ik ging naar Bali in de zomer .
PRON AUX PRON NOUN PUNCT	PRX ENS HAS CON NIL	Dit is mijn fiets .
PRON AUX ADJ PUNCT	PRO NOW IST NIL	Ik ben bezig .
PROPN VERB PRON ADP PROPN PUNCT	PER ENS DIS REL PER NIL	Tom fluistert iets tegen Mary .
PRON NOUN AUX PROPN PUNCT	HAS CON ENS LIT NIL	Mijn naam is Emily .
PRON AUX PRON NOUN ADJ ADV VERB PUNCT	PRO POS HAS IST CON NOT EXS NIL	Ik kan mijn rechter arm niet optillen .
ADJ NOUN PRON ADP PROPN PUNCT	NOW ENS PRO REL GPE NIL	Momenteel werk ik in Tokio .
ADP PRON AUX PRON NUM VERB PUNCT	REL QUE PST PRO PRG EXS QUE	Met wie was je aan~het praten ?
PRON NOUN VERB ADP DET NOUN PUNCT	HAS CON ENS REL DEF CON NIL	Je horloge ligt op het bureau .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DEF CON EXT NIL	We hebben de kolen opgemaakt .
DET ADJ NOUN AUX ADJ PUNCT	DEF COL CON NOW IST NIL	De rode rok is nieuw .
PRON VERB ADP DET NOUN PUNCT CCONJ PRON NOUN VERB ADP DET NOUN PUNCT	PRO ENS REL DIS CON NIL BUT HAS ROL ENS REL DEF CON NIL	Ik woon in een stad , maar mijn ouders wonen op het platteland .
PRON AUX DET NOUN VERB PUNCT	NOT NOW DEF CON EXT NIL	Niemand heeft het probleem opgelost .
PRON VERB DET NOUN ADP DET NOUN PUNCT	PRO EPS DEF CON REL DIS CON NIL	Hij sneed het vlees met een mes .
PRON VERB PRON ADV ADV PUNCT	PRO ENS PRO EMP NOT NIL	Ik ken haar helemaal niet .
PRON VERB NOUN PUNCT	PRO EPS CON NIL	Zij plukte bloemen .
PRON VERB PRON NOUN PUNCT	PRO EPS HAS ROL NIL	Ze haatte haar echtgenoot .
PRON AUX PRON PUNCT	PRO ENS REF NIL	Ik was mij .
PRON ADJ NOUN AUX NOUN PUNCT	HAS TOP CON ENS ORG NIL	Haar favoriete band is Warpaint .
PRON VERB DET NOUN PUNCT	PRO ENS DIS CON NIL	Ik eet een appel .
PRON NOUN AUX ADJ NOUN PUNCT	HAS ROL NOW INT IST NIL	Mijn vriendin is erg jaloers .
DET NOUN VERB PUNCT DET NOUN VERB PUNCT DET NOUN PROPN PUNCT DET NOUN VERB CCONJ DET NOUN VERB PUNCT	DEF CON ENS AND DEF CON ENS AND DEF CON ENS AND DEF CON ENS AND DEF CON ENS NIL	De koe loeit , de haan kraait , het varken knort , de eend kwaakt en de kat miauwt .
DET NOUN AUX ADP NUM PROPN NUM ADP DET NOUN ADP DET NOUN VERB PUNCT	QUE ROL PST REL DOM MOY YOC REL DIS CON REL DEF CON EXS QUE	Welke tennisspeelster werd op 30 april 1993 met een mes in de rug gestoken ?
ADP PRON AUX ADJ VERB PUNCT	REL QUE NOW PER IST QUE	Met wie is Miguel~Indurain getrouwd ?
PRON VERB PUNCT	AND EPS NIL	Iedereen sprong .
PRON NOUN VERB ADP ADP DET NOUN PUNCT	HAS CON EPS REL REL DEF CON NIL	Onze heteluchtballon steeg op naar de hemel .
PRON NOUN VERB ADP PUNCT	HAS CON ENS REL NIL	Zijn mobiele~telefoon staat uit .
PROPN VERB NOUN CCONJ PROPN VERB PUNCT	PER EPS CON AND PER EPS NIL	Dick speelde piano en Lucy zong .
DET NOUN PRON PRON NOUN VERB ADP NOUN CCONJ NOUN PUNCT	DEF CON AND DIS ENS ENS REL CON GRP CON NIL	De lucht die we inademen bestaat uit zuurstof en stikstof .
PROPN VERB ADP PRON NOUN CCONJ VERB ADV PUNCT	PER EPS REL HAS CON COO EPS REL NIL	Tom stapte op zijn fiets en reed weg .
PRON AUX ADV ADJ PUNCT	PRO NOW INT IST NIL	Zij is zeer mooi .
DET NOUN AUX ADJ PUNCT	DEF CON NOW IST NIL	Het vlees is rauw .
PRON AUX PRON NOUN VERB PUNCT	PRO NOW HAS CON EXT NIL	Ik heb mijn portefeuille verloren .
PRON AUX PRON ADV VERB PUNCT	PRO POS PRO NOT EXS NIL	Ik kan jullie niet helpen .
NOUN PROPN VERB PROPN ADP PROPN NUM PUNCT	ROL PER EPS GPE REL MOY YOC NIL	Kapitein Scott bereikte Scotteiland in December 1902 .
PROPN AUX ADV ADV ADJ SCONJ PROPN PUNCT	PER NOW NOT EQU IST REL PER NIL	Bill is niet zo groot als Bob .
SYM AUX DET ADJ NOUN ADP DET NOUN PUNCT	GPE ENS DEF TOP CON REL DEF CON NIL	New~York is de grootste stad van de wereld .
PRON VERB DET NOUN ADP PRON NOUN PUNCT	PRO EPS DEF CON REL HAS CON NIL	Hij sneed het touw met zijn tanden .
PRON AUX PROPN VERB PUNCT	PRO NOW PER EXT NIL	Ik heb Ken gekozen .
PRON VERB ADP DET NOUN PUNCT	PRO ENS REL DEF CON NIL	Hij werkt in het laboratorium .
PRON VERB ADP DET NOUN PUNCT	PRO ENS REL DIS CON NIL	Hij woont in een dorp .
PRON AUX VERB ADP PROPN PUNCT	PRO PST EXS REL GPE NIL	Zij waren geboren in Thailand .
PRON VERB PRON ADP DET NOUN PUNCT	PRO EPS PRO REL DIS CON NIL	Ze doodde hem met een mes .
DET NOUN VERB ADP DET NOUN PUNCT	DEF ROL EPS REL DEF CON NIL	De misdadiger vluchtte uit de gevangenis .
DET NOUN VERB NUM NOUN PUNCT	DEF CON EPS QUC UOM NIL	De regen duurde vijf dagen .
PRON NOUN VERB PRON DET NOUN PUNCT	HAS ROL EPS PRO DIS CON NIL	Mijn oom gaf hem een geschenk .
PROPN VERB DET ADJ NOUN PUNCT	PER ENS DIS CON CON NIL	Mary draagt een plastic jurk .
PRON AUX PRON VERB PUNCT	PRO PST PRG EXS NIL	Ik was aan~het slapen .
PRON AUX ADJ PUNCT	PRO NOW IST EMP	Ik ben slaperig !
PRON VERB VERB PUNCT	PRO ENS CON NIL	Ik haat spinazie .
PRON VERB PUNCT	AND EPS NIL	Iedereen wachtte .
PROPN VERB NOUN CCONJ PROPN VERB PUNCT	PER EPS CON COO PER EPS NIL	Tom speelde piano en Mary zong .
PRON NOUN AUX ADJ SCONJ PRON PUNCT	HAS ROL NOW MOR REL PRO NIL	Mijn zus is jonger dan mij .
PRON AUX ADJ ADJ PUNCT	PRO PST INT IST NIL	Hij was zwaar gewond .
PRON VERB NUM NOUN PUNCT	PRO ENS QUC CON NIL	Ik heb twee katten .
PRON VERB DET ADJ NOUN ADP DET PROPN PUNCT	PRO EPS DEF IST CON REL DEF CON NIL	Zij zette de vuile borden in de gootsteen .
DET NOUN VERB DET ADJ NOUN PUNCT	DEF CON EPS DEF DEG CON NIL	Het vuur verwoestte het hoge gebouw .
PROPN VERB ADP NUM PROPN PUNCT	PER EPS REL DOM MOY NIL	Carl~Smith stierf op 8 augustus .
PROPN AUX VERB ADP DET NOUN PUNCT	PER PST EXS REL DST CON NIL	Bill werd gedood door die man .
PRON AUX DET NOUN VERB PUNCT	QUE NOW DEF CON EXT QUE	Wie heeft de telefoon uitgevonden ?
DET NOUN ADP DET NOUN AUX ADJ PUNCT	AND ROL REL DEF CON PST IST NIL	Elk lid van de club was aanwezig .
PRON AUX ADP PROPN VERB PUNCT	PRO NOW REL GPE EXT NIL	Ik ben in Amerika geboren .
PRON VERB PRON NOUN DET NOUN PUNCT	PRO EPS HAS ROL DIS CON NIL	Ik gaf mijn broer een woordenboek .
PRON VERB ADJ PUNCT	PRO ENS CON NIL	Ik heb hooikoorts .
PRON AUX ADV DET VERB PUNCT	NIL NOW ALT PRG EXS NIL	Het is weer aan~het regenen .
PRON NOUN AUX ADJ PUNCT	HAS CON ENS CON NIL	Mijn moedertaal is Japans .
PRON VERB PRON NOUN ADP ADP NOUN PUNCT	PRO EPS HAS ROL REL REL CON NIL	Ik kwam je broer tegen op straat .
PROPN PROPN PUNCT	PER EPS NIL	Sita glimlachte .
DET NOUN AUX ADJ PUNCT	DEF CON NOW IST NIL	De man heeft gelijk .
DET NOUN VERB ADP DET NOUN PUNCT	DIS CON ENS REL DEF CON NIL	Een koekje ligt onder de tafel .
PRON NOUN AUX NUM NOUN VERB PUNCT	HAS ROL NOW QUC CON EXT NIL	Mijn moeder heeft tien eieren gekookt .
PRON AUX NUM VERB PUNCT	PRO PST PRG EXS NIL	Ik was aan~het roken .
PROPN AUX DET NOUN PUNCT	PER ENS DIS CON NIL	Kate heeft een verkoudheid .
PROPN VERB DET NOUN ADP NUM NOUN PUNCT	CON EPS DEF CON REL QUC UOM NIL	God schiep deze wereld in zes dagen .
PROPN AUX ADV ADV ADJ SCONJ PRON PUNCT	PER NOW NOT EQU IST REL PRO NIL	Tom is niet zo getalenteerd als jij .
ADP DET NOUN VERB PRON DET NOUN PUNCT	BUT AND CON ENS PRO DIS ROL NIL	Ondanks alle tegenslagen blijft hij een optimist .
PRON AUX NUM PUNCT	PRO NOW QUC NIL	Ik ben veertig .
DET NOUN VERB DET NOUN PUNCT	DEF ROL ENS DEF CON NIL	De toeristen bezoeken het museum .
PROPN VERB SCONJ DET NOUN VERB AUX PUNCT	PER EPS SUB DEF CON IST PST NIL	Tom merkte dat de deur geopend was .
ADV AUX PRON VERB PUNCT	POS FUT PRO EXS NIL	Misschien zal je slagen .
PRON VERB DET NOUN PUNCT	PRO EPS DIS CON NIL	Ik zag een ufo .
PRON NOUN AUX NOUN PUNCT	HAS CON NOW IST NIL	Mijn koffer is stuk .
PRON NOUN AUX PROPN PUNCT	HAS CON ENS CON NIL	Mijn moedertaal is Pools .
PRON VERB PRON DET ADJ NOUN PUNCT	PRO EPS PRO DIS IST CON NIL	Hij vertelde mij een interessant verhaal .
DET NOUN AUX PRON PUNCT	HAS CON ENS PRX QUE	Wiens schoenen zijn dit ?
DET NOUN VERB PRON VERB PUNCT	DEF ROL EPS DEF CON NIL	De boogschutter doodde het hert .
PRON VERB DET NOUN PUNCT	PRO ENS DIS CON NIL	Ik rij een cabriolet .
PROPN VERB PRON DET NOUN PUNCT	PER EPS PRO DIS CON NIL	Maria schreef me een brief .
DET NOUN NOUN ADP PROPN PUNCT	DEF CON EPS REL PER NIL	De kat blies naar Tom .
PRON VERB DET NOUN ADP PRON NOUN PUNCT	PRO EPS DIS CON REL HAS CON NIL	Ze had een moedervlek op haar gezicht .
PROPN VERB NUM NOUN ADP PROPN PUNCT	GPE EPS QUC CON REL GPE NIL	Roemenië stuurde 730 troepen naar Irak .
PROPN AUX DET NOUN ADV VERB PUNCT	PER NOW DEF CON NOT EXT NIL	Bill heeft de misdaad niet begaan .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DIS CON EXT NIL	Ik heb een glas gebroken .
PRON NOUN VERB ADP NUM NOUN PUNCT	HAS CON ENS REL QUC CON NIL	Onze klas bestaat uit 40 jongens .
PRON AUX ADJ PUNCT	PRO NOW IST NIL	't Is gratis .
DET NOUN AUX VERB ADP NUM PUNCT	PRX CON PST EXS REL YOC NIL	Deze school is opgericht in 1650 .
NOUN AUX DET NOUN ADP PROPN PUNCT	GPE ENS DEF CON REL GPE NIL	Buenos~Aires is de hoofdstad van Argentinië .
PRON NOUN AUX ADJ ADJ ADP DET NOUN PUNCT	HAS CON NOW INT IST REL DEF CON NIL	Zijn huis is heel ver van het station .
ADP NOUN AUX PRON ADV PUNCT	REL CLO FUT PRO IST NIL	Om zes~uur ben ik terug .
PRON VERB ADP NOUN PUNCT	PRO ENS REL CON NIL	Ik hou van chocolade .
PRON VERB ADP NOUN PUNCT	PRO ENS REL CON NIL	Ik krijs om ijs .
DET NOUN VERB NUM NOUN	PRX CON ENS QUC UOM	Dit boek kost 4 dollar
PRON VERB ADV ADP PROPN PUNCT	PRO ENS NOT REL PER NIL	Ik werk niet voor Tom .
AUX PRON ADP DET PRON VERB PUNCT	POS PRO REL DEF CON EXS QUE	Mag ik naar de wc gaan ?
PRON VERB PRON ADP DET NOUN PUNCT	PRO EPS PRO REL DEF CON NIL	Hij klopte me op de schouder .
PRON AUX NUM NOUN ADJ PUNCT	PRO NOW QUC UOM DEG NIL	Ze is veertig jaar oud .
PRON VERB DET NOUN PUNCT	PRO ENS DIS ROL NIL	Ik ben een tennisspeler .
PROPN VERB DET VERB NOUN ADP DET NOUN PUNCT	PER EPS DIS EXS CON REL DEF CON NIL	Tom plakte een handgeschreven briefje op de deur .
DET NOUN VERB ADP DET NOUN PUNCT	DEF CON EPS REL DEF CON NIL	De jongen sprong in het water .
PROPN PROPN DET NOUN PUNCT	PER ENS DEF CON NIL	Tom melkt de koeien .
PROPN AUX DET NOUN VERB PUNCT	PER ENS DIS PST ROL NIL	Tom is een ex- gedetineerde .
PRON DET ADJ NOUN AUX PRON PUNCT	EMP DIS IST ROL ENS PRO EMP	Wat een onaangename kerel is hij !
PRON VERB ADV PUNCT	PRO ENS NOT NIL	Hij rookt niet .
PRON AUX PRON NOUN ADV VERB PUNCT	PRO POS HAS CON NOT EXS NIL	Ik kan mijn horloge niet vinden .
PRON AUX NOUN ADP DET NOUN PUNCT	PRO NOW CLO REL DEF CON NIL	Het is twee~uur in de namiddag .
PRON AUX NOUN PUNCT	PRO NOW CLO NIL	Het is een~uur .
PRON VERB ADV PUNCT	PRO ENS AND NIL	Ze glimlacht altijd .
PROPN VERB DET NOUN PUNCT	PER ENS NOT CON NIL	Tom heeft geen creditcard .
ADV AUX DET NOUN PROPN VERB PUNCT	QUE PST DEF ROL PER EXS QUE	Waar is de regisseur Michelangelo~Antonioni geboren ?
DET NOUN VERB ADP PRON PUNCT	DEF CON EPS REL PRO NIL	De hond gromde naar mij .
PROPN VERB ADP PROPN PUNCT	PER ENS REL CON NIL	Tom houdt van Emmentaler .
PRON AUX DET NOUN ADV VERB PUNCT	PRO NOW DST CON NOT EXT NIL	Ik heb die deur niet opengemaakt .
PRON AUX PROPN VERB PUNCT	PRO NOW CON EXT NIL	Ik heb pizza besteld .
NOUN VERB DET ADJ NOUN PUNCT	PER ENS DEF GPO CON NIL	Romano~Prodi wint de Italiaanse voorverkiezingen .
PRON VERB PRON PUNCT	DIS ENS PRO NIL	Iemand roept je .
AUX PRON VERB ADP DET NOUN PUNCT	POS PRO EXS REL PRX CON QUE	Mogen we rolschaatsen in dit park ?
PRON AUX ADJ ADP PRON NOUN PUNCT	PRO NOW IST REL HAS ROL NIL	Hij is trots op zijn zoon .
PRON AUX PRON ADJ NOUN ADP PUNCT	PRO EPS HAS CON IST REL NIL	Hij had zijn hemd binnenste~buiten aan .
PRON AUX ADJ ADP DET NOUN PUNCT	PRO NOW IST REL DEF CON NIL	Ze is tevreden met de jurk .
PRON NOUN VERB ADP PROPN PUNCT	HAS ROL ENS REL GPE NIL	Mijn ouders komen uit China .
PRON AUX ADJ ADP PRON PUNCT	PRO NOW IST REL PRO NIL	Ik ben verliefd op jou .
PRON AUX ADP DET ADJ NOUN VERB PUNCT	PRO PST REL DIS IST ROL EXS NIL	Ik werd door een oude vriend uitgenodigd .
PRON AUX DET NOUN VERB ADP PRON PUNCT	PRO NOW DEF CON EXT REL PRO NIL	Ik heb de radio gerepareerd voor hem .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DEF CON EXT NIL	Ik heb de zakdoek gestreken .
PRON AUX VERB PUNCT	NIL PST EXT NIL	Het had gesneeuwd .
PRON VERB DET NOUN PUNCT SCONJ PRON VERB PUNCT	PRO EPS DIS CON NIL SUB NIL EPS NIL	Ik nam een taxi , omdat het regende .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DIS CON EXT NIL	U heeft een ara gekocht .
PROPN VERB DET NOUN ADP PRON PUNCT	PER EPS DIS CON REL REF NIL	Mary kocht een microscoop voor zichzelf .
PRON VERB DET PROPN PUNCT	PRO ENS NOT CON NIL	Hij spreekt geen Engels .
PRON AUX NUM PUNCT	PRO NOW QUC NIL	Hij is acht .
DET ADJ NOUN AUX PRON VERB PUNCT	DEF DEG CON NOW PRG EXS NIL	Het jonge meisje is aan~het zingen .
PRON VERB NOUN PUNCT	AND ENS CON NIL	Iedereen maakt fouten .
PROPN VERB ADP PROPN PUNCT	GPE ENS REL GPE NIL	Illinois grenst aan Missouri .
PROPN VERB DET PROPN PUNCT	ORG EPS DEF ORG NIL	Canada versloeg de VS .
PRON AUX ADV ADV ADJ SCONJ PRON NOUN PUNCT	PRO NOW NOT EQU IST REL HAS ROL NIL	Hij is niet zo slim als zijn broer .
PRON AUX ADV ADJ SCONJ PRON PUNCT	PRO NOW QUV MOR REL PRO NIL	Zij is veel zwaarder dan hij .
PRON AUX NOUN VERB PUNCT	PRO POS CON EXS NIL	Hij kan fluit spelen .
PRON AUX DET NOUN PUNCT	PRO ENS DIS ROL NIL	Je bent een workaholic .
DET NOUN AUX ADV ADJ PUNCT	DST CON NOW INT IST EMP	Die vent is helemaal kierewiet !
PROPN VERB PROPN PUNCT	ORG EPS ORG NIL	Italië versloeg Kazachstan .
PROPN AUX ADP PROPN VERB PUNCT	PER PST REL GPE EXS NIL	Vladislav~Listjev is in Moskou vermoord .
PRON VERB DET NOUN ADP PUNCT	PRO EPS DEF CON REL NIL	Ze ruimde de tafel af .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DST CON EXT NIL	Ik heb dat telefoonummer opgeschreven .
PROPN AUX ADJ SCONJ PROPN	GPE NOW MOR REL GPE	Tokyo is groter als Rome
PROPN VERB DET NOUN PUNCT	PER ENS NOT CON NIL	Tom heeft geen creditcard .
PRON VERB ADP NOUN PUNCT	NOT ENS REL CON NIL	Niemand houdt van oorlog .
PROPN AUX ADP DET NOUN VERB PUNCT	PER PST REL DEF ROL EXS NIL	Karel~de~Grote werd door de paus gekroond .
PRON AUX ADJ ADJ ADP PRON PUNCT	PRO PST INT IST REL PRO NIL	Ze waren erg aardig voor me .
NOUN AUX VERB ADP NOUN ADP PROPN PUNCT	PER PST EXS REL CON REL GPE NIL	Saad~Hariri werd verkozen tot minister-president van Libanon .
AUX PRON ADV ADJ PUNCT	NOW PRO NOT IST QUE	Ben je niet moe ?
ADV VERB DET NOUN PUNCT	QUE ENS DEF CON QUE	Waar is het toilet ?
PRON AUX ADV ADV ADJ PUNCT	PRO NOW EMP NOT IST NIL	Ik ben helemaal niet moe .
AUX PRON PRON NOUN PUNCT	ENS PRX HAS CON QUE	Is dit uw boek ?
NOUN ADJ VERB DET PROPN DET NOUN PUNCT	ROL PER ENS AND DOW DIS CON NIL	Mevrouw Klein geeft elke vrijdag een test .
PRON NOUN AUX ADJ PUNCT	HAS ROL NOW IST NIL	Mijn zuster is beroemd .
PRON AUX VERB PUNCT	PRO NOW IST NIL	Ik ben getrouwd .
DET NOUN AUX ADJ NOUN PUNCT	DEF CON PST IST CON NIL	De kamer was propvol mensen .
PRON VERB NUM NOUN PUNCT	PRO ENS QUC ROL NIL	Ik heb twee nichtjes .
PRON NOUN AUX ADJ PUNCT	HAS ROL NOW GPO NIL	Zijn vriendin is Japans .
PRON VERB ADJ VERB PUNCT	PRO ENS GPE EXS NIL	Ik wil Korea bezoeken .
PRON AUX ADJ SCONJ PRON PUNCT	PRO NOW MOR REL PRO NIL	Ik ben groter dan hij .
PROPN AUX ADJ ADJ ADP PROPN PUNCT	PER PST INT IST REL PER NIL	Tom was heel boos op Mary .
PROPN CCONJ PROPN VERB NOUN PUNCT	PER GRP PER ENS CON NIL	Tom en Mary spelen tikkertje .
DET NOUN AUX ADJ PUNCT	DEF CON NOW IST NIL	De deur is dicht .
PROPN VERB ADP DET NOUN PUNCT	PER EPS REL DIS CON NIL	Tom zat op een boomstam .
DET NOUN AUX VERB PUNCT	DEF CON NOW IST NIL	Het vlees is bevroren .
PROPN AUX ADJ ADJ PUNCT	PER PST INT IST NIL	Tom was heel behulpzaam .
PRON AUX ADJ PUNCT	PRO NOW CLO NIL	Het is vijf~voor~zes .
PRON AUX DET NOUN PUNCT	PRO EPS NOT CON NIL	Het was geen grap .
PRON AUX DET NOUN PUNCT	PRO ENS DIS ROL NIL	Je bent een schurk .
PROPN VERB NUM NOUN PUNCT	PER EPS QUC ROL NIL	Cristiani vermoordde zes jezuïeten .
NOUN ADJ ADP DET PROPN PUNCT	PER ENS REL DEF GPE NIL	Saddam~Hoessein vlucht naar de VS .
PROPN VERB DET PROPN PUNCT	PER ENS DEF ORG NIL	Castro bezoekt de VN .
PRON AUX PRON VERB ADP NUM NOUN PUNCT	PRO NOW PRO EXT REL QUC UOM NIL	Ik heb het gekocht voor tien dollar .
PRON AUX ADJ ADP NOUN PUNCT	PRO NOW IST REL CON NIL	Ik ben dol op auto's .
PRON VERB ADP DET NOUN PUNCT	PRO EPS REL DIS ROL NIL	Hij trouwde met een stewardess .
PRON VERB ADP DET NOUN PUNCT	DIS ENS REL DEF CON NIL	Iemand klopt op de deur .
DET NOUN AUX ADP DET NOUN VERB PUNCT	DEF CON PST REL DEF CON EXS NIL	De kist werd in de lijkwagen geladen .
DET NOUN VERB PUNCT	DEF CON EPS NIL	Het huis stonk .
NUM NOUN ADV AUX PRON DET NOUN VERB PUNCT	QUC UOM PST NOW PRO PRX CON EXT NIL	Vier jaar geleden heb ik deze fiets gekocht .
PRON NOUN ADJ PUNCT	NOW CON IST QUE	Zijn wespen giftig ?
PRON AUX ADV NOUN ADP PROPN PUNCT	PRO NOW NOT IST REL PER NIL	Ik ben niet jaloers op Tom .
DET NOUN AUX ADP DET NOUN PUNCT	DEF CON ENS REL DEF CON NIL	De theepot is onder de tafel .
PRON AUX ADV ADJ SCONJ PRON PUNCT	PRO NOW EQU IST REL PRO NIL	Hij is even groot als ik .
PROPN AUX VERB ADP NOUN PUNCT	ART PST EXS REL PER NIL	Le~Beau~Serge werd geregisseerd door Chabrol .
PROPN VERB ADV ADP PROPN PUNCT	ORG EPS REL REL PER NIL	Placebo werkte samen met Marilyn~Manson .
