	pos	tok	sem
50	DET NOUN AUX ADJ PUNCT	Ma soeur est célèbre .	HAS ROL NOW IST NIL
51	DET NOUN AUX ADJ PUNCT	La porte est fermée .	DEF CON NOW IST NIL
52	DET NOUN AUX ADJ PUNCT	La viande est congelée .	DEF CON NOW IST NIL
53	PROPN VERB ADP PROPN PUNCT	Saddam Hussein fuit aux États-Unis .	PER ENS DEF GRE NIL
54	PROPN AUX DET NOUN ADP PROPN PUNCT	Auckland est une ville de Nouvelle-Zélande .	GPE NOW DIS CON REL GPE NIL
55	DET NOUN AUX ADJ PUNCT	Mon père est grand .	HAS ROL NOW DEG NIL
56	PROPN AUX VERB ADP PROPN PUNCT	Aurore_Paquiss est marié à Chabrol .	PER NOW EXT REL PER NIL
57	PROPN AUX VERB DET NOUN PROPN PUNCT	Henri_Ford a fondé l' entreprise Ford .	PER NOW EXT DEF CON ORG NIL
58	DET NOUN AUX ADJ PUNCT	La frontière est fermée .	DEF CON NOW IST NIL
59	PROPN AUX DET NOUN PUNCT	Tom est mon cousin .	PER NOW HAS ROL NIL
60	PROPN VERB DET PROPN PROPN PUNCT	Senecal habite le Manoir Cortland .	PER ENS DEF CON GPE NIL
61	PROPN AUX DET NOUN ADJ PUNCT	Picasso est un artiste célèbre .	PER NOW DIS ROL IST NIL
62	DET NOUN ADJ PUNCT	Le vent souffle .	DEF CON ENS NIL
63	PROPN AUX DET NOUN PUNCT	Sumatra est une île .	GEO ENS DIS CON NIL
64	NUM ADV NUM VERB NUM PUNCT	Deux plus deux égale quatre .	QUC CON QUC EXS QUC NIL
65	PROPN AUX VERB ADV NUM NOUN PUNCT	Marilyn_Monroe est morte il_y_a 33 ans .	PER NOW EXT DXT QUC UOM NIL
66	PRON ADP NOUN VERB PROPN PUNCT	Beaucoup de gens admire Nikklo .	QUV REL CON ENS GPE NIL
67	PROPN AUX VERB ADP PROPN PUNCT	Sandra_Goudie a perdu contre Max_Purnell.	PER NOW EXT REL PER NIL
68	DET NOUN AUX ADP DET NOUN PUNCT	Le chat est sous la table .	DEF CON NOW REL DEF CON NIL
69	DET NOUN VERB DET PROPN PUNCT	Les inondations ravagent l' Europe .	DEF CON ENS DEF GPE NIL
70	PROPN AUX VERB DET PROPN PUNCT	Edison a inventé le Kinétoscope .	PER NOW EXT DEF CON NIL
71	DET NOUN AUX ADJ PUNCT	Mon chien est blanc .	HAS CON NOW COL NIL
72	PROPN AUX VERB ADP PROPN PUNCT	Leloir est né en Argentine .	PER NOW EXT REL GPE NIL
73	PROPN AUX AUX VERB ADP PROPN PUNCT	El-Nashar a été arrêté en Egypte .	PER NOW PFT EXS REL GPE NIL
74	PROPN VERB DET NOUN DET PROPN PUNCT	Sylvia_Costas est la femme d' Andy_Sipowicz .	PER ENS DEF ROL REL PER NIL
75	PROPN AUX VERB NUM NOUN ADJ PUNCT	PM a acheté trois usines russes .	ORG NOW EXT QUC CON GPO NIL
76	DET NOUN AUX VERB DET NOUN PUNCT	Le chien a mordu l' homme .	DEF CON NOW EXT DEF CON NIL
77	PRON AUX ADJ PUNCT	Tu es saoul !	PRO NOW IST NIL
78	PROPN AUX VERB NUM PROPN PUNCT	Accardo a composé 24 Caprices .	PER NOW EXT QUC CON NIL
79	DET NOUN AUX ADJ PUNCT	La fille est seule .	DEF CON NOW IST NIL
80	ADV PROPN AUX PRON VERB ADP DET NOUN PUNCT	Pourquoi Jane est -elle allée à la gare ? 	QUE PER NOW PRO EXT REL DEF CON QUE
81	PROPN VERB DET NOUN ADJ PUNCT	Texas_Instruments produit des téléphones portables .	ORG ENS DEF CON IST NIL
82	DET AUX DET NOUN PUNCT	C' est un scientifique .	PRO NOW DIS ROL NIL
83	DET NOUN AUX ADV ADJ PUNCT	Ce drapeau est très joli .	PRX CON NOW INT IST NIL
84	DET NOUN AUX AUX VERB ADP NOUN PUNCT	Les blessés ont été transportés en ambulance .	DEF CON NOW PFT EXS REL CON NIL
85	PROPN AUX DET NOUN PUNCT	Tom a une voiture .	PER NOW DIS CON NIL
86	DET NOUN PROPN AUX AUX VERB ADP PROPN PUNCT	Le film 'speed' a été réalisé par Jan_De_Bont .	DEF CON ART NOW PFT EXS REL PER NIL
87	DET NOUN ADP NOUN PROPN VERB ADP PROPN PUNCT	Le groupe de rock Spock's_Beard vient du Japon .	DEF CON REL CON ORG ENS REL GPE NIL
88	DET NOUN PROPN AUX AUX VERB ADP PROPN PUNCT	Le film 'speed' a été réalisé par Jan_De_Bont .	DEF CON ART NOW PFT EXS REL PER NIL
89	DET NOUN VERB DET NOUN PUNCT	Une éponge absorbe l' eau .	AND CON EXS DEF CON NIL
90	DET NOUN AUX AUX ADV ADJ PUNCT	L' eau n' est pas potable .	DEF CON NOT NOW NOT IST NIL
91	PRON AUX AUX ADJ PUNCT	Personne n' est parfait .	NOT NOT NOW IST NIL
92	ADJ DET NOUN AUX AUX VERB DET PRON PUNCT	Tout le monde s' est moqué de lui .	AND DEF CON PRO NOW EXT REL PRO NIL
93	PRON AUX NUM NOUN PUNCT	J' ai 18 ans .	PRO NOW QUC UOM NIL
94	ADJ DET NOUN AUX VERB PUNCT	Tout le monde a ri .	AND DEF CON NOW EXT NIL
95	PROPN AUX VERB PROPN PUNCT	GUS a vendu Wehkamp .	ORG NOW EXT ORG NIL
96	PROPN AUX VERB DET NOUN ADP PROPN PUNCT	André_Henri_Constant_van_Hasselt a fait ces études à Maastricht .	PER NOW EXT HAS CON REL GPE NIL
97	PROPN AUX VERB ADP PROPN PUNCT	Wolfgang_Amadeus_Mozart est né à Salzbourg .	PER NOW EXT REL GPE NIL
98	PRON VERB VERB DET NOUN PUNCT	Il faudrait repasser cette chemise .	DEF NEC EXS PRX CON NIL
99	DET NOUN VERB NUM NOUN PUNCT	Le thé coûte deux euros .	DEF CON ENS QUC UOM NIL
100	PROPN AUX AUX VERB ADP PROPN PUNCT	Ibrahim_Sofu a été assassiné par Metin_Kaplan .	PER NOW PFT EXS REL PER NIL
101	DET NOUN VERB ADP DET NOUN PUNCT	Le garçon parle à son grand-père .	DEF CON ENS REL HAS ROL NIL
102	DET PROPN VERB NUM NOUN ADP ADJ PUNCT	Le Kanchenjunga fait 8586 mètres de haut .	DEF GEO ENS QUC UOM REL CON NIL
103	DET NOUN VERB DET NOUN ADP NOUN PUNCT	Le policier porte un masque à gaz .	DEF ROL ENS DEF CON REL CON NIL
104	PROPN AUX AUX VERB ADP NOUN PUNCT	O.J._Simpson a été accusé de meurtre .	PER NOW PFT EXS REL CON NIL
105	PROPN AUX DET NOUN ADP NOUN PUNCT	Betty est une tueuse en série .	PER NOW DEF ROL REL CON NIL
106	PRON VERB PUNCT	Je comprends .	PRO ENS NIL
107	PROPN AUX VERB NUM NOUN PUNCT	Jerry_Reinsdorf a remporté 7 championnats .	PER NOW EXT QUC CON NIL
108	DET NOUN AUX AUX ADV ADJ PUNCT	La porte n' était pas fermée .	DEF CON NOT PST NOT IST NIL
109	PROPN AUX VERB PROPN PUNCT	Spartan_Air_Lines a racheté United_Airways .	ORG NOW EXT ORG NIL
110	PROPN AUX AUX VERB ADP PROPN PUNCT	Vladislav_Listyev a été tué à Moscou .	PER NOW PFT EXS REL GRE NIL
111	DET NOUN AUX VERB DET NOUN PUNCT	Le docteur a examiné les patients .	DEF ROL NOW EXT DEF CON NIL
112	DET NOUN VERB DET ADJ NOUN PUNCT	Un éléphant a un long nez .	AND CON NOW DIS SST CON NIL
113	DET NOUN VERB ADP DET NOUN PUNCT	L' argent est sur la table .	DEF CON NOW REL DEF CON NIL
114	DET ADJ VERB NUM NOUN PUNCT	Un dollar vaut cent cents .	QUC UOM EXS QUC UOM NIL
115	PROPN VERB ADP PROPN PUNCT	Bervely travaillait pour WEDCOR .	PER EPS REL ORG NIL
116	DET NOUN AUX DET NOUN PUNCT	Ma femme a une pneumonie .	HAS ROL NOW DIS CON NIL
117	PROPN AUX DET NOUN ADJ PUNCT	Nikos_Kourkoulos était un acteur grec .	PER EPS DIS POL GPO NIL
118	PROPN AUX DET NOUN ADJ PUNCT	Klaus_Pohl est un dramaturge allemand .	PER NOW DIS ROL GPO NIL
119	PROPN AUX ADJ PUNCT	Ken est content .	PER NOW IST NIL
120	PRON AUX NOUN PUNCT	J' ai soif .	PRO NOW CON NIL
121	PROPN AUX VERB PROPN PUNCT	Mary a giflé Tom .	PER NOW EXT PER NIL
122	PRON AUX VERB ADP NOUN PUNCT	J' ai mangé du caviar .	PRO NOW EXT DIS CON NIL
123	PRON VERB PUNCT	Il neige .	RPO NOW NIL
124	DET NOUN VERB PUNCT	L' oiseau vole .	DEF CON NOW NIL
125	PROPN AUX VERB PROPN PUNCT	Louis_Riel a assassiné Scott .	PER NOW EXT PER NIL
126	DET NOUN ADJ PUNCT	Ce seau fuit .	PRO CON NOW NIL
127	DET NOUN PROPN AUX VERB ADP PROPN PUNCT	Le pape Jean-Paul_II est né en Pologne .	DEF ROL PER NOW EXT REL GRO NIL
128	PRON AUX NOUN PUNCT	Je suis boulanger .	PRO NOW ROL NIL
129	DET NOUN PROPN AUX VERB ADP NUM PUNCT	La reine Elizabeth_I est morte en 1603 .	DEF ROL PER NOW EXT REL YOC NIL
130	PROPN AUX AUX VERB ADP DET NOUN ADJ PUNCT	Marlowe a été arrêté par les autorités italiennes .	PER NOW PFT EXT REL DEF ROL GPO NIL
131	PROPN AUX DET NOUN PUNCT	Gianni_Versace est un styliste .	PER NOW DIS ROL NIL
132	PRON ADV PRON VERB PUNCT	Personne ne me comprend .	NOT NOT PRO ENS NIL
133	PROPN AUX DET NOUN ADP PROPN PUNCT	Reinventing_Comics est un livre de Scott_McCloud .	ART NOW DIS CON REL PER NIL
134	PROPN AUX VERB ADP PROPN PUNCT	Johann_Wolfgang_von_Goethe est né en Allemagne .	PER NOW EXT REL GPE NIL
135	DET NOUN AUX VERB DET ADJ NOUN PUNCT	Le chirurgien a amputé la mauvaise jambe .	DEL ROL NOW EXT DEF IST CON NIL
136	DET NOUN AUX ADJ PUNCT	Le vin était excellent .	DEF CON PST IST NIL
137	DET NOUN AUX ADJ PUNCT	Ma mère est belle .	HAS ROL NOW IST NIL
138	PRON VERB PUNCT	Nous comprenons .	PRO ENS NIL
139	PROPN AUX VERB PROPN PUNCT	Manchester_United a battu Fulham .	ORG NOW EXT ORG NIL
140	DET NOUN VERB ADP NOUN PUNCT	L' école commence à 8h30 .	DEF CON ENS REL CLO NIL
141	PRON AUX VERB PROPN PUNCT	Je m' appelle Antonio .	PRO PRO NOW PER NIL
142	DET NOUN AUX VERB NOUN PROPN PUNCT	Un docteur a examiné M. Brown .	DIS ROL NOW EXT ROL PER NIL
143	PROPN AUX ADJ PUNCT	Tom est fort .	PER NOW IST NIL
144	PROPN AUX VERB PROPN PUNCT	BSN a acheté RJR_Nabisco .	ORG NOW EXT ORG NIL
145	PRON AUX VERB DET NOUN PUNCT	Il a bu une bière .	DEF NOW EXT DIS CON NIL
146	DET NOUN AUX ADJ PUNCT	La tarte est délicieuse .	DEF CON NOW IST NIL
147	PROPN AUX DET ADJ NOUN ADP PROPN PUNCT	Qin_Shi_Huang était le premier empereur de Chine .	PER PST DEF ORD ROL REL GPE NIL
148	NOUN PROPN AUX VERB ADP PROPN PUNCT	M. Zhao est mort à Pékin .	ROL PER NOW EXT REL GPE NIL
149	PROPN AUX DET NOUN PUNCT	Gabriel_Garcia_Marquez est un écrivain .	PER NOW DIS ROL NIL
150	PROPN AUX AUX VERB ADP PROPN PUNCT	Nancy_Ianiero a été tuée à Mexico .	PER NOW PFT EXS REL GPE NIL
151	PROPN AUX DET NOUN ADJ PUNCT	Verdens_Gang est un journal norvégien .	ORG ENS DIS CON GPO NIL
152	PRON AUX VERB DET NOUN PUNCT	Qui a inventé la radio ?	QUE NOW EXT DEF CON QUE
153	PROPN AUX VERB ADP PROPN PUNCT	Nelson_Beavers a travaillé pour Eurofins .	PER NOW EXT REL ORG NIL
154	PRON AUX AUX VERB ADP DET NOUN PUNCT	Il a été attaqué par un requin .	PRO NOW PFT EXS REL DIS CON NIL
155	DET NOUN VERB DET NOUN PUNCT	Les chats attrapent des souris .	AND CON EXS DIS CON NIL
156	DET NOUN AUX DET NOUN PUNCT	Un dauphin est un mammifère .	AND CON NOW DIS CON NIL
157	PRON AUX ADJ PUNCT	Elle est heureuse .	PRO NOW IST NIL
158	PROPN AUX VERB DET DET ADJ NOUN PUNCT	John a hérité d' une grosse fortune .	PER NOW EXT REL DIS IST CON NIL
159	PROPN AUX DET NOUN PUNCT	Stephen_Hawking est un physicien .	PER NOW DIS ROL NIL
160	PROPN AUX ADJ ADP NOUN PUNCT	John est bon en mathématiques .	PER NOW IST REL CON NIL
161	DET AUX DET NOUN PUNCT	C' est mon ami .	PRO NOW HAS ROL NIL
162	PRON VERB ADJ ADP DET NOUN PUNCT	Il faisait chaud dans la pièce .	PRO EPS DEG REL DEF CON NIL
