p	d	raw_text_en	source	id	French translation	French source	Last accessed	French tokenization
21	777	The fire is out.	http://opus.lingfil.uu.se/Tatoeba.php	23896	Le feu s'éteignit.	https://tatoeba.org/en/sentences/show/980128	12.05.2022	Le feu s' éteignit .
21	764	Tony Blair belongs to the Labor Party.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	445	Tony Blair est membre du Labor Party.	-	-	Tony_Blair est membre du Labor_Party .
32	760	FermiLab created Linux LTS.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	57	Fermilab a créé le Linux LTS.	-	-	Fermilab a créé le Linux_LTS .
42	760	Hooper bought a house in Portland.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	67	Hooper a acheté une maison à Portland.	-	-	Hooper a acheté une maison à Portland .
42	945	I'll eat the apple.	http://opus.lingfil.uu.se/Tatoeba.php	2635296	Je mangerai une pomme.	https://tatoeba.org/en/sentences/show/5247403	12.05.2022	Je mangerai une pomme .
8	857	This school was founded in 1650.	http://opus.lingfil.uu.se/Tatoeba.php	374105	Cette école fut fondée en 1650.	https://tatoeba.org/en/sentences/show/798041	12.05.2022	Cette école fut fondée en 1650 .
23	851	The wind is blowing from the east.	http://opus.lingfil.uu.se/Tatoeba.php	319709	Le vent souffle de l'est.	https://tatoeba.org/en/sentences/show/135917	12.05.2022	Le vent souffle de l' est .
10	886	Is my explanation clear?	http://opus.lingfil.uu.se/Tatoeba.php	680521	Mon explication est-elle claire ?	https://tatoeba.org/en/sentences/show/1044606	12.05.2022	Mon explication est -elle claire ?
10	3000	Fire burns.	http://opus.lingfil.uu.se/Tatoeba.php	23865	Le feu brûle.	https://tatoeba.org/en/sentences/show/9562	12.05.2022	Le feu brûle .
10	3217	I love hamburgers.	http://opus.lingfil.uu.se/Tatoeba.php	2650834	J'adore les hamburgers.	https://tatoeba.org/en/sentences/show/5803735	12.05.2022	J' adore les hamburgers .
10	789	Who wrote this book?	http://opus.lingfil.uu.se/Tatoeba.php	40452	Qui a écrit ce livre ?	https://tatoeba.org/en/sentences/show/378898	12.05.2022	Qui a écrit ce livre ?
10	1851	I am taller.	http://opus.lingfil.uu.se/Tatoeba.php	251869	Je suis plus grand.	https://tatoeba.org/en/sentences/show/1313552	12.05.2022	Je suis plus grand .
95	791	The war lasted two years.	http://opus.lingfil.uu.se/Tatoeba.php	45733	La guerre dura deux ans.	https://tatoeba.org/en/sentences/show/1517091	12.05.2022	La guerre dura deux ans .
90	851	I won the lottery.	http://opus.lingfil.uu.se/Tatoeba.php	320982	J'ai gagné à la loterie.	https://tatoeba.org/en/sentences/show/406122	12.05.2022	J' ai gagné à la loterie .
90	910	The trees are green.	http://opus.lingfil.uu.se/Tatoeba.php	182196	Les arbres sont verts.	https://tatoeba.org/en/sentences/show/182197	12.05.2022	Les arbres sont verts .
90	759	Alexandre Berthier died in 1799.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	15	Alexandre Berthier est mort en 1799.	-	-	Alexandre_Berthier est mort en 1799 .
90	794	Switzerland is a beautiful country.	http://opus.lingfil.uu.se/Tatoeba.php	52441	La Suisse est un beau pays.	https://tatoeba.org/en/sentences/show/373689	12.05.2022	La Suisse est un beau pays .
90	764	Dagbladet is a Norwegian newspaper.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	516/517/514/515	Dagbladet est un journal norwegien.	-	-	Dagbladet est un journal norwegien .
3	872	Mr. Smith came.	http://opus.lingfil.uu.se/Tatoeba.php	465051	M. Smith est venu.	https://tatoeba.org/en/sentences/show/4745630	12.05.2022	M. Smith est venu .
3	787	Tom is taller than his mother.	http://opus.lingfil.uu.se/Tatoeba.php	37307	Tom est plus grand que sa mère.	https://tatoeba.org/en/sentences/show/433090	12.05.2022	Tom est plus grand que sa mère .
3	925	Tom spilled the milk.	http://opus.lingfil.uu.se/Tatoeba.php	1476185	Tom a renversé le lait.	https://tatoeba.org/en/sentences/show/4959025	12.05.2022	Tom a renversé le lait .
96	858	She slapped his face.	http://opus.lingfil.uu.se/Tatoeba.php	388068	Elle le gifla.	https://tatoeba.org/en/sentences/show/548847	12.05.2022	Elle le gifla .
7	947	I was smoking.	http://opus.lingfil.uu.se/Tatoeba.php	2795608	Je fumais.	https://tatoeba.org/en/sentences/show/2199996	12.05.2022	Je fumais .
7	2535	My suitcase is broken.	http://opus.lingfil.uu.se/Tatoeba.php	250589	Ma valise est cassée.	https://tatoeba.org/en/sentences/show/7804	12.05.2022	Ma valise est cassée .
7	3331	The archer killed the deer.	http://opus.lingfil.uu.se/Tatoeba.php	1531	L'archer a tué le cerf.	https://tatoeba.org/en/sentences/show/1055188	12.05.2022	L' archer a tué le cerf .
19	762	Lady Diana died in Paris.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	244	Lady Diana est morte à Paris.	-	-	Lady_Diana est morte à Paris .
19	838	He was playing the piano.	http://opus.lingfil.uu.se/Tatoeba.php	292479	Il jouait du piano.	https://tatoeba.org/en/sentences/show/292479	12.05.2022	Il jouait du piano .
19	889	He was crying.	http://opus.lingfil.uu.se/Tatoeba.php	706912	Il pleurait.	https://tatoeba.org/en/sentences/show/1642825	12.05.2022	Il pleurait .
19	2434	A banana is yellow.	http://opus.lingfil.uu.se/Tatoeba.php	2833940	Une banane est jaune.	https://tatoeba.org/en/sentences/show/554706	12.05.2022	Une banane est jaune .
31	793	The school was established in 1650.	http://opus.lingfil.uu.se/Tatoeba.php	48944	Cette école a été fondée en 1650.	https://tatoeba.org/en/sentences/show/338256	12.05.2022	Cette école a été fondée en 1650 .
31	1404	Are you allergic to anything?	http://opus.lingfil.uu.se/Tatoeba.php	2835703	Êtes-vous allergique à quelque chose ?	https://tatoeba.org/en/sentences/show/10699102	12.05.2022	Êtes -vous allergique à quelque chose ?
31	1390	What prize was Elizabeth Neufeld awarded?	http://clef-qa.fbk.eu/2004/resources.html	-	Quel prix Elizabeth Neufeld a-t'elle reçu ? 	-	-	Quel prix Elizabeth_Neufeld a -t' elle reçu ? 
11	951	The sky is blue.	http://opus.lingfil.uu.se/Tatoeba.php	18275-397294	Le ciel est bleu.	-	-	Le ciel est bleu .
11	859	The dog was hit by a car.	http://opus.lingfil.uu.se/Tatoeba.php	388643	Le chien a été heurté par une voiture.	https://tatoeba.org/en/sentences/show/1335902	12.05.2022	Le chien a été heurté par une voiture .
34	781	London was bombed several times.	http://opus.lingfil.uu.se/Tatoeba.php	29267	Londres a été bombardé plusieurs fois.	https://tatoeba.org/en/sentences/show/13824	12.05.2022	Londres a été bombardé plusieurs fois .
6	2685	My sister is younger than me.	http://opus.lingfil.uu.se/Tatoeba.php	1555889	Ma sœur est plus jeune que moi.	https://tatoeba.org/en/sentences/show/4025608	12.05.2022	Ma sœur est plus jeune que moi .
53	3342	A bee buzzes.	http://opus.lingfil.uu.se/Tatoeba.php	881030	Une abeille bourdonne.	https://tatoeba.org/en/sentences/show/3229340	12.05.2022	Une abeille bourdonne .
17	711	Le Beau Serge was directed by Chabrol.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	1	Le beau Serge a été réalisé par Chabrol.	-	-	Le_beau_Serge a été réalisé par Chabrol .
17	764	Martin Luther King was murdered in 1968.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	441/562/557/558	Martin Luther King a été assassiné en 1968.	-	-	Martin_Luther_King a été assassiné en 1968 .
79	886	Millions of wild animals live in Alaska.	http://opus.lingfil.uu.se/Tatoeba.php	682435	Des millions d'animaux sauvages vivent en Alaska.	https://tatoeba.org/en/sentences/show/872804	12.05.2022	Des millions d'animaux sauvages vivent en Alaska .
79	885	Brad Pitt is an actor.	http://opus.lingfil.uu.se/Tatoeba.php	680077	Brad Pitt est un acteur.	https://tatoeba.org/en/sentences/show/4207672	12.05.2022	Brad_Pitt est un acteur .
64	762	Kieslowski is a director.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	289	Kieslowski est un réalisateur.	-	-	Kieslowski est un réalisateur .
78	763	Michael Crichton is the author of the book Jurassic Park.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	451/402	Michael Crichton est l'auteur du livre Jurassic Park.	-	-	Michael_Crichton est l' auteur du livre Jurassic_Park .
70	1398	Everybody applauded.	http://opus.lingfil.uu.se/Tatoeba.php	2111892	Tout le monde a applaudi.	https://tatoeba.org/en/sentences/show/2097437	12.05.2022	Tout le monde a applaudi .
70	2452	Are you ready?	http://opus.lingfil.uu.se/Tatoeba.php	376424	Êtes-vous prêt ?	https://tatoeba.org/en/sentences/show/550353	12.05.2022	Êtes -vous prêt ?
70	883	Beijing is bigger than Rome.	http://opus.lingfil.uu.se/Tatoeba.php	632368	Pékin est plus grand que Rome.	https://tatoeba.org/en/sentences/show/889507	12.05.2022	Pékin est plus grand que Rome .
46	3145	This CD belongs to her.	http://opus.lingfil.uu.se/Tatoeba.php	61387	Ce CD lui appartient.	https://tatoeba.org/en/sentences/show/534037	12.05.2022	Ce CD lui appartient .
44	868	I ordered two hamburgers.	http://opus.lingfil.uu.se/Tatoeba.php	453418	J'ai commandé deux hamburgers.	https://tatoeba.org/en/sentences/show/13137	12.05.2022	J' ai commandé deux hamburgers .
12	877	I was invited by an old friend.	http://opus.lingfil.uu.se/Tatoeba.php	511791	J'ai été invité par un vieil ami.	https://tatoeba.org/en/sentences/show/541107	12.05.2022	J' ai été invité par un vieil ami .
13	712	Illinois borders on Missouri.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	97	L'Illinois est limitrophe du Missouri.	-	-	L' Illinois est limitrophe du Missouri .
59	3181	He flew from London to Paris.	http://opus.lingfil.uu.se/Tatoeba.php	303018	Il a pris l'avion de Londres à Paris.	-	-	Il a pris l' avion de Londres à Paris .
4	843	He is old.	http://opus.lingfil.uu.se/Tatoeba.php	302334	Il est vieux.	https://tatoeba.org/en/sentences/show/821565	12.05.2022	Il est vieux .
86	2159	Tom was eaten by a tiger.	http://opus.lingfil.uu.se/Tatoeba.php	1676689	Tom a été dévoré par un tigre.	-	-	Tom a été dévoré par un tigre .
40	815	My watch is very accurate.	http://opus.lingfil.uu.se/Tatoeba.php	251021	Ma montre est très précise.	https://tatoeba.org/en/sentences/show/7738	12.05.2022	Ma montre est très précise .
40	1399	Tom is angry with us.	http://opus.lingfil.uu.se/Tatoeba.php	2547583	Tom est en colère contre nous.	https://tatoeba.org/en/sentences/show/4005740	12.05.2022	Tom est en colère contre nous .
40	903	I'm very tired now.	http://opus.lingfil.uu.se/Tatoeba.php	1090175	Je suis très fatigué maintenant.	https://tatoeba.org/en/sentences/show/1090176	12.05.2022	Je suis très fatigué maintenant .
61	1520	He's stronger than you.	http://opus.lingfil.uu.se/Tatoeba.php	295648	Il est plus fort que toi.	https://tatoeba.org/en/sentences/show/1317195	12.05.2022	Il est plus fort que toi .
60	760	Joseph Wilson worked for CIA.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	85	Joseph Wilson a travaillé pour la CIA.	-	-	Joseph_Wilson a travaillé pour la CIA .
60	2609	She is kind.	http://opus.lingfil.uu.se/Tatoeba.php	315182	Elle est gentille.	https://tatoeba.org/en/sentences/show/4374428	12.05.2022	Elle est gentille .
60	2077	I hate this rug.	http://opus.lingfil.uu.se/Tatoeba.php	3508212	Je déteste ce tapis.	https://tatoeba.org/en/sentences/show/2334544	12.05.2022	Je déteste ce tapis .
60	784	Betty killed her mother.	http://opus.lingfil.uu.se/Tatoeba.php	33924	Betty a tué sa mère.	https://tatoeba.org/en/sentences/show/373654	12.05.2022	Betty a tué sa mère .
54	3130	I was sleeping.	http://opus.lingfil.uu.se/Tatoeba.php	1887936	Je dormais.	https://tatoeba.org/en/sentences/show/1887936	12.05.2022	Je dormais .
77	715	The movie “Speed” was directed by Jan De Bont.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	461/462	Le film Speed a été réalisé par Jan De Bont.	-	-	Le film Speed a été réalisé par Jan_De_Bont .
69	1391	Where does Raymond Pettibon work?	http://clef-qa.fbk.eu/2004/resources.html	-	Où travaille Raymond Pettibon ?	-	-	Où travaille Raymond Pettibon ?
98	838	He can't swim.	http://opus.lingfil.uu.se/Tatoeba.php	293929	Il ne sait pas nager.	https://tatoeba.org/en/sentences/show/293929	12.05.2022	Il ne sait pas nager .
45	783	Mayuko entered the room.	http://opus.lingfil.uu.se/Tatoeba.php	32368	Mayuko entra dans la pièce.	https://tatoeba.org/en/sentences/show/13478	12.05.2022	Mayuko entra dans la pièce .
25	761	Swift died in 1745.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	150	Swift est mort en 1745.	-	-	Swift est mort en 1745 .
65	714	Fast food is very popular in Japan.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	349	Les fast foods sont très populaires au Japon.	-	-	Les fast_foods sont très populaires au Japon .
72	841	He is lazy.	http://opus.lingfil.uu.se/Tatoeba.php	299797	Il est fainéant.	https://tatoeba.org/en/sentences/show/132647	12.05.2022	Il est fainéant .
